Address,Latitude,Longitude,Date,ETo (mm/day),qc,Sol Rad Avg (W/sq.m),qc
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/13/2010,0.48, ,81, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/14/2010,0.49, ,77, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/15/2010,0.63, ,96, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/16/2010,0.66, ,93, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/17/2010,0.34, ,87, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/18/2010,0.84, ,82, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/19/2010,0.45, ,68, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/20/2010,0.66, ,83, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/21/2010,0.71, ,94, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/22/2010,0.27, ,83, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/23/2010,0.36, ,92, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/24/2010,0.68, ,85, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/25/2010,1.24, ,66, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/26/2010,0.7, ,77, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/27/2010,0.58, ,76, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/28/2010,0.65, ,65, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/29/2010,1.02, ,88, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/30/2010,0.59, ,88, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,12/31/2010,0.52, ,89, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/1/2011,0.43, ,86, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/2/2011,0.67, ,99, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/3/2011,0.46, ,90, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/4/2011,0.5, ,96, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/5/2011,0.58, ,99, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/6/2011,0.9, ,105, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/7/2011,0.82, ,104, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/8/2011,1.02, ,111, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/9/2011,0.69, ,110, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/10/2011,0.99, ,102, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/11/2011,0.67, ,75, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/12/2011,0.75, ,81, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/13/2011,0.54, ,74, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/14/2011,0.66, ,89, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/15/2011,0.82, ,85, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/16/2011,1.35, ,61, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/17/2011,1.49, ,113, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/18/2011,2.34, ,111, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/19/2011,0.97, ,120, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/20/2011,1.57, ,111, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/21/2011,1.64, ,114, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/22/2011,1.74, ,121, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/23/2011,1.43, ,99, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/24/2011,1.97, ,119, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/25/2011,2.13, ,117, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/26/2011,2.35, ,125, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/27/2011,1.55, ,131, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/28/2011,1.68, ,133, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/29/2011,1.01, ,113, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/30/2011,0.83, ,120, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,1/31/2011,1.69, ,132, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/1/2011,2.37, ,138, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/2/2011,1.85, ,141, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/3/2011,1.77, ,140, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/4/2011,2.59, ,133, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/5/2011,2.57, ,136, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/6/2011,2.04, ,148, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/7/2011,2.27, ,145, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/8/2011,1.72, ,126, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/9/2011,2.18, ,157, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/10/2011,2.31, ,154, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/11/2011,2.16, ,128, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/12/2011,2.5, ,157, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/13/2011,2.03, ,153, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/14/2011,1.8, ,98, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/15/2011,0.56, ,51, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/16/2011,0.88, ,80, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/17/2011,0.51, ,82, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/18/2011,1.26, ,118, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/19/2011,1.26, ,125, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/20/2011,1.12, ,140, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/21/2011,1.21, ,154, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/22/2011,1.26, ,165, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/23/2011,2.22, ,173, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/24/2011,1.1, ,105, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/25/2011,0.89, ,132, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/26/2011,0.73, ,165, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/27/2011,1.44, ,186, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,2/28/2011,1.34, ,110, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/1/2011,1.96, ,199, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/2/2011,1.84, ,116, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/3/2011,1.31, ,123, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/4/2011,1.81, ,186, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/5/2011,1.18, ,106, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/6/2011,1.52, ,136, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/7/2011,2.1, ,189, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/8/2011,1.92, ,139, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/9/2011,2.25, ,212, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/10/2011,1.21, ,126, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/11/2011,2.08, ,203, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/12/2011,1.49, ,139, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/13/2011,1.87, ,101, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/14/2011,2.03, ,193, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/15/2011,1.39, ,80, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/16/2011,1.51, ,147, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/17/2011,1.5, ,159, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/18/2011,1.16, ,150, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/19/2011,1.45, ,157, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/20/2011,1.7, ,161, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/21/2011,1.56, ,177, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/22/2011,1.9, ,203, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/23/2011,1.86, ,141, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/24/2011,1.33, ,122, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/25/2011,1.69, ,119, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/26/2011,1.83, ,149, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/27/2011,1.78, ,145, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/28/2011,2.75, ,250, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/29/2011,1.84, ,143, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/30/2011,3.71, ,266, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,3/31/2011,4.54, ,257, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/1/2011,3.79, ,252, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/2/2011,3.45, ,271, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/3/2011,3.64, ,263, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/4/2011,3.23, ,183, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/5/2011,3.59, ,258, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/6/2011,2.59, ,222, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/7/2011,1.7, ,173, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/8/2011,3.52, ,260, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/9/2011,2.62, ,219, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/10/2011,2.85, ,207, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/11/2011,2.81, ,238, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/12/2011,3.13, ,269, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/13/2011,2.26, ,235, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/14/2011,2.45, ,225, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/15/2011,1.82, ,139, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/16/2011,2.56, ,167, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/17/2011,1.89, ,158, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/18/2011,2.72, ,241, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/19/2011,3.48, ,267, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/20/2011,2.37, ,164, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/21/2011,2.65, ,218, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/22/2011,3.1, ,259, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/23/2011,2.38, ,169, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/24/2011,3.33, ,264, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/25/2011,3.24, ,182, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/26/2011,3.21, ,252, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/27/2011,3.96, ,313, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/28/2011,2.78, ,225, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/29/2011,3.43, ,298, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,4/30/2011,3.88, ,307, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/1/2011,4.37, ,299, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/2/2011,5.3, ,268, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/3/2011,5.19, ,317, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/4/2011,5.55, ,322, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/5/2011,5, ,304, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/6/2011,5.12, ,246, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/7/2011,3.14, ,189, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/8/2011,3.12, ,226, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/9/2011,4.02, ,301, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/10/2011,4.73, ,326, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/11/2011,4.01, ,243, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/12/2011,4.01, ,324, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/13/2011,4.9, ,301, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/14/2011,3.85, ,247, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/15/2011,2.15, ,156, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/16/2011,2.21, ,228, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/17/2011,2.03, ,152, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/18/2011,3.28, ,243, 
"5158 N CA-3, Etna, CA 96027(41.5277, -122.9042)",41.527674,-122.904202,5/19/2011,4.73, ,342, 
