Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
225,Scott Valley,Northeast Plateau,4/29/2015,119,5.26, ,0.00, ,311, ,0.7, ,21.1, ,1.8, ,11.6, ,97, ,23, ,54, ,2.7, ,1.9, ,162.1, ,14.1, 
225,Scott Valley,Northeast Plateau,4/30/2015,120,5.10, ,0.00, ,314, ,0.6, ,24.9, ,-1.9, ,10.8, ,91, ,18, ,50, ,0.8, ,1.4, ,117.1, ,13.6, 
225,Scott Valley,Northeast Plateau,5/1/2015,121,5.54, ,0.00, ,322, ,0.7, ,29.1, ,-1.7, ,13.9, ,94, ,17, ,46, ,2.4, ,1.4, ,121.1, ,13.6, 
225,Scott Valley,Northeast Plateau,5/2/2015,122,5.73, ,0.00, ,323, ,0.7, ,27.4, ,1.6, ,14.4, ,92, ,19, ,44, ,2.2, ,1.5, ,127.9, ,13.9, 
225,Scott Valley,Northeast Plateau,5/3/2015,123,5.62, ,0.00, ,331, ,0.7, ,27.2, ,1.3, ,14.7, ,89, ,20, ,42, ,1.9, ,1.5, ,131.0, ,14.0, 
225,Scott Valley,Northeast Plateau,5/4/2015,124,5.94, ,0.00, ,323, ,0.7, ,25.5, ,2.1, ,13.7, ,85, ,22, ,43, ,1.4, ,1.9, ,162.1, ,14.0, 
225,Scott Valley,Northeast Plateau,5/5/2015,125,5.55, ,0.00, ,332, ,0.6, ,21.0, ,-0.4, ,10.8, ,93, ,24, ,48, ,0.2, ,2.0, ,175.4, ,13.6, 
225,Scott Valley,Northeast Plateau,5/6/2015,126,5.62, ,0.00, ,344,R,0.6, ,17.9, ,-1.7, ,9.2, ,91, ,27, ,48, ,-1.2, ,2.6, ,227.8, ,13.2, 
225,Scott Valley,Northeast Plateau,5/7/2015,127,4.72, ,0.00, ,284, ,0.6, ,18.7, ,-0.7, ,9.9, ,84, ,26, ,48, ,-0.4, ,2.4, ,207.0, ,12.8, 
225,Scott Valley,Northeast Plateau,5/8/2015,128,5.43, ,0.00, ,321, ,0.8, ,23.5, ,-0.3, ,12.4, ,94, ,26, ,53, ,3.2, ,1.6, ,134.2, ,13.2, 
225,Scott Valley,Northeast Plateau,5/9/2015,129,5.54, ,0.00, ,324, ,0.7, ,26.5, ,1.3, ,14.2, ,94, ,19, ,44, ,2.2, ,1.4, ,118.0, ,14.0, 
225,Scott Valley,Northeast Plateau,5/10/2015,130,4.45, ,0.00, ,246, ,0.9, ,24.9, ,2.1, ,13.4, ,91, ,30, ,58, ,5.4, ,1.8, ,151.6, ,14.2, 
225,Scott Valley,Northeast Plateau,5/11/2015,131,2.92, ,0.00, ,191, ,0.9, ,16.0, ,4.6, ,9.6, ,97, ,57, ,77, ,5.8, ,2.1, ,184.9, ,13.8, 
225,Scott Valley,Northeast Plateau,5/12/2015,132,4.40, ,0.00, ,296, ,0.8, ,15.4, ,2.7, ,8.5, ,95, ,43, ,70, ,3.3, ,2.2, ,188.9, ,14.1, 
225,Scott Valley,Northeast Plateau,5/13/2015,133,2.57, ,0.00, ,146, ,0.9, ,16.0, ,3.9, ,10.5, ,98, ,49, ,70, ,5.3, ,1.7, ,149.1, ,14.2, 
225,Scott Valley,Northeast Plateau,5/14/2015,134,3.45, ,1.80, ,238, ,0.9, ,17.7, ,2.4, ,9.0, ,99, ,41, ,76, ,5.0, ,1.5, ,129.7, ,14.1, 
225,Scott Valley,Northeast Plateau,5/15/2015,135,2.69, ,1.00, ,190, ,0.9, ,15.9, ,1.2, ,9.1, ,100, ,55, ,78, ,5.6, ,1.5, ,130.4, ,13.9, 
225,Scott Valley,Northeast Plateau,5/16/2015,136,5.02, ,2.10, ,319, ,1.0, ,20.8, ,3.7, ,11.9, ,99, ,38, ,71, ,6.8, ,1.6, ,142.0, ,14.1, 
225,Scott Valley,Northeast Plateau,5/17/2015,137,4.82, ,3.40, ,283, ,1.1, ,21.3, ,8.8, ,13.8, ,98, ,31, ,69, ,8.2, ,1.8, ,155.7, ,15.7, 
225,Scott Valley,Northeast Plateau,5/18/2015,138,2.54, ,8.50,H,178, ,1.2, ,18.3, ,9.8, ,12.0, ,98, ,61, ,88, ,10.1, ,1.3, ,116.6, ,16.1, 
225,Scott Valley,Northeast Plateau,5/19/2015,139,3.36, ,6.20, ,216, ,1.3,Y,20.1, ,10.5, ,13.7, ,98, ,61, ,83,Y,10.8,Y,1.4, ,118.2, ,16.4, 
225,Scott Valley,Northeast Plateau,5/20/2015,140,1.94, ,5.10, ,143, ,1.4,Y,19.0, ,10.7, ,13.4, ,99, ,63, ,88,Y,11.5,Y,1.2, ,103.4, ,16.6, 
225,Scott Valley,Northeast Plateau,5/21/2015,141,4.54, ,0.00, ,272, ,1.3, ,20.8, ,7.9, ,14.8, ,100, ,49, ,76, ,10.6, ,1.8, ,152.8, ,17.1, 
225,Scott Valley,Northeast Plateau,5/22/2015,142,4.00, ,0.00, ,244, ,1.1, ,21.1, ,4.1, ,13.4, ,100, ,39, ,74, ,8.9, ,1.7, ,143.3, ,17.1, 
225,Scott Valley,Northeast Plateau,5/23/2015,143,5.31, ,0.00, ,342, ,1.0, ,22.4, ,0.8, ,12.5, ,100, ,43, ,66, ,6.4, ,1.4, ,121.3, ,16.8, 
225,Scott Valley,Northeast Plateau,5/24/2015,144,5.82, ,0.00, ,353, ,1.1, ,27.0, ,3.8, ,16.1, ,100, ,34, ,63, ,9.0, ,1.3, ,113.0, ,17.2, 
225,Scott Valley,Northeast Plateau,5/25/2015,145,6.22, ,0.00, ,346, ,1.1, ,26.4, ,6.6, ,17.7, ,98, ,25, ,55, ,8.4, ,1.7, ,143.1, ,17.8, 
225,Scott Valley,Northeast Plateau,5/26/2015,146,6.15, ,0.00, ,336, ,1.0, ,26.5, ,4.4, ,16.5, ,95, ,28, ,53, ,6.9, ,1.6, ,135.0, ,17.7, 
225,Scott Valley,Northeast Plateau,5/27/2015,147,6.21, ,0.00, ,357, ,1.0, ,27.9, ,4.9, ,17.0, ,97, ,26, ,53, ,7.3, ,1.2, ,107.7, ,17.7, 
225,Scott Valley,Northeast Plateau,5/28/2015,148,6.18, ,0.00, ,344, ,1.2, ,30.0, ,5.7, ,18.2, ,98, ,28, ,55, ,9.1, ,1.2, ,100.8, ,17.7, 
225,Scott Valley,Northeast Plateau,5/29/2015,149,6.13, ,0.00, ,318, ,1.3, ,30.7, ,6.8, ,19.4, ,98, ,31, ,57, ,10.6, ,1.4, ,119.8, ,18.0, 
225,Scott Valley,Northeast Plateau,5/30/2015,150,4.77, ,0.00, ,244, ,1.3, ,30.0, ,10.5, ,19.4, ,91, ,29, ,58, ,10.9, ,1.3, ,115.2, ,18.2, 
225,Scott Valley,Northeast Plateau,5/31/2015,151,5.66, ,1.30, ,252, ,1.1, ,28.0, ,8.8, ,17.9, ,96, ,25, ,51, ,7.8, ,2.2, ,193.0, ,17.9, 
225,Scott Valley,Northeast Plateau,6/1/2015,152,2.11, ,2.00, ,149, ,1.3, ,19.3, ,7.4, ,13.7, ,98, ,55, ,82, ,10.7, ,1.3, ,113.0, ,17.6, 
225,Scott Valley,Northeast Plateau,6/2/2015,153,5.13, ,0.00, ,298, ,1.1, ,22.0, ,4.9, ,13.7, ,100, ,41, ,68, ,7.9, ,1.7, ,148.4, ,17.2, 
225,Scott Valley,Northeast Plateau,6/3/2015,154,4.95, ,0.10, ,279, ,1.1, ,24.0, ,8.5, ,14.8, ,94, ,36, ,65, ,8.4, ,2.1, ,178.3, ,17.4, 
225,Scott Valley,Northeast Plateau,6/4/2015,155,4.56, ,0.70, ,267, ,1.3, ,24.7, ,8.1, ,15.1, ,99, ,42, ,74, ,10.4, ,1.3, ,111.9, ,17.6, 
225,Scott Valley,Northeast Plateau,6/5/2015,156,5.93, ,0.10, ,321, ,1.1, ,28.6, ,4.5, ,17.3, ,100, ,26, ,58, ,9.0, ,1.4, ,119.0, ,17.5, 
225,Scott Valley,Northeast Plateau,6/6/2015,157,6.42, ,0.30,H,354, ,1.3, ,31.3, ,6.3, ,19.3, ,97, ,26, ,56, ,10.4, ,1.3, ,110.3, ,18.4, 
225,Scott Valley,Northeast Plateau,6/7/2015,158,6.80, ,0.00, ,361, ,1.3, ,34.0, ,7.3, ,21.3, ,96, ,17, ,50, ,10.3, ,1.2, ,101.8, ,18.9, 
225,Scott Valley,Northeast Plateau,6/8/2015,159,6.54, ,0.00, ,336, ,1.5,Y,34.7, ,9.3, ,22.8, ,94, ,28, ,55,Y,13.4,Y,1.1, ,95.6, ,19.2, 
225,Scott Valley,Northeast Plateau,6/9/2015,160,4.23, ,0.00, ,211, ,1.7,Y,32.6, ,12.6, ,22.7, ,96, ,34, ,61,Y,14.7,Y,1.3, ,113.7, ,19.6, 
225,Scott Valley,Northeast Plateau,6/10/2015,161,7.34, ,0.00, ,357, ,1.1, ,32.0, ,8.5, ,21.0, ,95, ,18, ,45, ,8.6, ,1.9, ,162.9, ,19.4, 
225,Scott Valley,Northeast Plateau,6/11/2015,162,6.81, ,0.00, ,366, ,0.9, ,32.8, ,3.1, ,19.2, ,89, ,17, ,40, ,5.3, ,1.3, ,113.4, ,18.7, 
225,Scott Valley,Northeast Plateau,6/12/2015,163,7.22, ,0.00, ,363, ,1.1, ,34.6, ,7.8, ,21.8, ,93, ,20, ,42, ,8.2, ,1.4, ,123.5, ,18.8, 
225,Scott Valley,Northeast Plateau,6/13/2015,164,7.07, ,0.00, ,368, ,0.9, ,32.2, ,6.1, ,20.0, ,90, ,14, ,38, ,5.4, ,1.4, ,120.6, ,18.7, 
225,Scott Valley,Northeast Plateau,6/14/2015,165,6.95, ,0.00, ,359, ,1.0, ,33.4, ,5.4, ,20.0, ,91, ,21, ,42, ,6.8, ,1.4, ,119.2, ,18.5, 
225,Scott Valley,Northeast Plateau,6/15/2015,166,7.14, ,0.00, ,360, ,1.0, ,32.2, ,6.7, ,20.5, ,95, ,14, ,40, ,6.5, ,1.6, ,135.6, ,18.6, 
225,Scott Valley,Northeast Plateau,6/16/2015,167,7.06, ,0.00, ,362, ,1.0, ,33.0, ,6.1, ,20.4, ,91, ,16, ,40, ,6.4, ,1.5, ,127.9, ,18.5, 
225,Scott Valley,Northeast Plateau,6/17/2015,168,7.18, ,0.00, ,363, ,0.9, ,33.5, ,6.1, ,20.8, ,92, ,14, ,37, ,5.5, ,1.5, ,132.5, ,18.6, 
225,Scott Valley,Northeast Plateau,6/18/2015,169,6.64, ,0.00, ,323, ,0.7, ,32.2, ,6.5, ,19.8, ,87, ,13, ,32, ,2.8, ,1.8, ,157.7, ,18.6, 
225,Scott Valley,Northeast Plateau,6/19/2015,170,6.81, ,0.00, ,364, ,0.7, ,30.8, ,2.9, ,18.5, ,83, ,15, ,35, ,2.6, ,1.3, ,116.3, ,18.2, 
225,Scott Valley,Northeast Plateau,6/20/2015,171,5.84, ,0.00, ,297, ,0.9, ,31.2, ,6.4, ,19.4, ,90, ,17, ,42, ,6.2, ,1.2, ,105.1, ,18.4, 
225,Scott Valley,Northeast Plateau,6/21/2015,172,7.11, ,0.00, ,351, ,0.9, ,29.9, ,9.1, ,20.2, ,84, ,12, ,36, ,4.7, ,1.9, ,160.3, ,18.6, 
225,Scott Valley,Northeast Plateau,6/22/2015,173,7.03, ,0.00, ,358, ,0.9, ,30.9, ,6.6, ,19.4, ,90, ,21, ,42, ,6.2, ,1.7, ,147.2, ,18.9, 
225,Scott Valley,Northeast Plateau,6/23/2015,174,6.95, ,0.00, ,353, ,1.0, ,33.3, ,5.0, ,20.0, ,90, ,13, ,41, ,6.5, ,1.5, ,128.2, ,19.4, 
225,Scott Valley,Northeast Plateau,6/24/2015,175,7.26, ,0.00, ,348, ,1.1, ,34.6, ,6.9, ,22.0, ,90, ,19, ,42, ,8.4, ,1.7, ,144.4, ,20.1, 
225,Scott Valley,Northeast Plateau,6/25/2015,176,7.09, ,0.50, ,352, ,1.2, ,38.1,Y,8.7, ,23.0, ,96, ,15, ,44, ,10.2, ,1.4, ,119.1, ,20.3, 
225,Scott Valley,Northeast Plateau,6/26/2015,177,7.27, ,0.00, ,343, ,1.5, ,39.3,Y,11.8, ,25.4,Y,86, ,20, ,45,Y,12.6,Y,1.4, ,124.4, ,20.8, 
225,Scott Valley,Northeast Plateau,6/27/2015,178,6.90, ,0.00, ,285, ,1.4, ,37.0, ,15.3,Y,26.6,Y,84, ,19, ,41,Y,12.2,Y,1.9, ,162.9, ,22.0, 
225,Scott Valley,Northeast Plateau,6/28/2015,179,4.71, ,0.00, ,207, ,1.3, ,33.3, ,13.5, ,24.3, ,72, ,21, ,44, ,11.4, ,1.7, ,147.1, ,21.9, 
225,Scott Valley,Northeast Plateau,6/29/2015,180,7.50, ,0.00, ,360, ,1.1, ,36.1, ,8.3, ,23.2, ,87, ,14, ,38, ,8.0, ,1.7, ,144.0, ,21.6, 
225,Scott Valley,Northeast Plateau,6/30/2015,181,6.99,R,0.70,H,355, ,1.3, ,38.4,Y,9.5, ,23.7, ,89, ,14, ,44, ,10.7, ,1.2, ,107.8, ,22.6, 
225,Scott Valley,Northeast Plateau,7/1/2015,182,7.72, ,0.00, ,345, ,1.4, ,38.8,Y,12.8, ,26.8,Y,85, ,19, ,39,Y,11.7,Y,1.6, ,139.2, ,23.3,Y
225,Scott Valley,Northeast Plateau,7/2/2015,183,6.96, ,0.00, ,311, ,1.4, ,39.2,Y,12.5, ,26.0,Y,79, ,19, ,42,Y,12.0,Y,1.4, ,123.5, ,23.5,Y
225,Scott Valley,Northeast Plateau,7/3/2015,184,4.45, ,0.00, ,206, ,1.7,Y,34.0, ,15.7,Y,25.3, ,83, ,35, ,54,Y,15.3,Y,1.4, ,124.7, ,23.4,Y
225,Scott Valley,Northeast Plateau,7/4/2015,185,5.85, ,0.00, ,278, ,1.7,Y,36.4, ,13.8, ,24.9, ,91, ,24, ,53,Y,14.8,Y,1.3, ,108.4, ,23.3,Y
225,Scott Valley,Northeast Plateau,7/5/2015,186,4.33, ,0.00, ,210, ,1.9,R,33.9, ,17.0,Y,23.3, ,93, ,36, ,,R,,I,1.3, ,113.6, ,23.4,Y
225,Scott Valley,Northeast Plateau,7/6/2015,187,7.06, ,0.00, ,349, ,1.6,Y,34.7, ,11.4, ,24.0, ,99, ,25, ,53,Y,14.0,Y,1.5, ,133.1, ,23.2, 
225,Scott Valley,Northeast Plateau,7/7/2015,188,5.50, ,0.30, ,237, ,1.5, ,33.7, ,17.1,Y,24.5, ,91, ,24, ,50, ,13.5, ,2.6, ,223.8, ,23.7,Y
225,Scott Valley,Northeast Plateau,7/8/2015,189,2.64, ,1.00, ,153, ,1.8,R,25.3, ,15.4,Y,19.7, ,96, ,57, ,,R,,I,1.3, ,113.4, ,22.6, 
225,Scott Valley,Northeast Plateau,7/9/2015,190,3.29, ,0.70, ,191, ,1.7,Y,25.6, ,15.1,Y,19.3, ,96, ,53, ,75,Y,14.9,Y,1.5, ,130.8, ,22.1, 
225,Scott Valley,Northeast Plateau,7/10/2015,191,4.66, ,4.40, ,248, ,1.6,Y,27.2, ,13.5, ,19.3, ,96, ,42, ,72,Y,14.2,Y,1.9, ,160.6, ,21.9, 
225,Scott Valley,Northeast Plateau,7/11/2015,192,5.93, ,0.10, ,286, ,1.4, ,27.5, ,13.4, ,20.2, ,99, ,34, ,59, ,11.9, ,1.9, ,168.0, ,22.0, 
225,Scott Valley,Northeast Plateau,7/12/2015,193,3.94, ,2.70, ,214, ,1.4, ,26.9, ,11.3, ,18.4, ,98, ,34, ,65, ,11.8, ,1.7, ,148.8, ,21.7, 
225,Scott Valley,Northeast Plateau,7/13/2015,194,5.63, ,1.10, ,284, ,1.4, ,29.1, ,9.6, ,19.0, ,100, ,35, ,65, ,12.3, ,1.8, ,151.5, ,21.3, 
225,Scott Valley,Northeast Plateau,7/14/2015,195,5.97, ,0.00, ,303, ,1.5, ,30.9, ,11.5, ,20.6, ,100, ,26, ,60, ,12.6, ,1.7, ,146.4, ,21.7, 
225,Scott Valley,Northeast Plateau,7/15/2015,196,6.92, ,0.00, ,346, ,1.3, ,32.5, ,10.8, ,21.8, ,94, ,27, ,51, ,11.2, ,1.7, ,145.0, ,21.8, 
225,Scott Valley,Northeast Plateau,7/16/2015,197,6.93, ,0.00, ,346, ,1.0, ,32.7, ,8.7, ,21.9, ,90, ,19, ,39, ,7.3, ,1.6, ,136.7, ,21.8, 
225,Scott Valley,Northeast Plateau,7/17/2015,198,7.17, ,0.00, ,335, ,1.0, ,34.1, ,8.5, ,22.5, ,87, ,16, ,38, ,7.4, ,1.8, ,153.5, ,21.8, 
225,Scott Valley,Northeast Plateau,7/18/2015,199,6.87, ,0.00, ,337, ,1.0, ,34.2, ,8.2, ,22.2, ,77, ,19, ,39, ,7.5, ,1.4, ,122.9, ,21.8, 
225,Scott Valley,Northeast Plateau,7/19/2015,200,7.03, ,0.00, ,327, ,1.2, ,35.4, ,10.2, ,23.9, ,80, ,18, ,40, ,9.4, ,1.8, ,154.5, ,22.0, 
225,Scott Valley,Northeast Plateau,7/20/2015,201,6.83, ,0.00, ,321, ,1.5, ,35.7, ,12.7, ,23.8, ,90, ,25, ,50, ,12.7, ,1.9, ,162.2, ,22.4, 
225,Scott Valley,Northeast Plateau,7/21/2015,202,6.79, ,0.00, ,316, ,1.4, ,34.5, ,12.2, ,22.9, ,97, ,25, ,48, ,11.5, ,1.9, ,161.0, ,22.4, 
225,Scott Valley,Northeast Plateau,7/22/2015,203,6.88, ,0.00, ,334, ,0.9, ,32.2, ,8.9, ,20.8, ,80, ,14, ,36, ,5.3, ,1.8, ,156.6, ,22.0, 
225,Scott Valley,Northeast Plateau,7/23/2015,204,6.68, ,0.00, ,340, ,0.9, ,30.9, ,6.9, ,20.0, ,91, ,17, ,40, ,5.9, ,1.7, ,143.0, ,21.7, 
225,Scott Valley,Northeast Plateau,7/24/2015,205,6.71, ,0.00, ,327, ,1.0, ,32.1, ,8.0, ,21.0, ,90, ,20, ,41, ,7.3, ,1.8, ,154.2, ,21.7, 
225,Scott Valley,Northeast Plateau,7/25/2015,206,6.84, ,0.00, ,334, ,1.0, ,31.9, ,8.1, ,20.9, ,82, ,15, ,39, ,6.5, ,1.8, ,154.7, ,21.7, 
225,Scott Valley,Northeast Plateau,7/26/2015,207,6.14, ,0.00, ,292, ,1.0, ,30.0, ,7.5, ,18.6, ,91, ,25, ,48, ,7.5, ,2.3, ,198.4, ,21.4, 
225,Scott Valley,Northeast Plateau,7/27/2015,208,6.37, ,0.00, ,341, ,0.8, ,29.3, ,5.0, ,18.0, ,95, ,15, ,41, ,4.6, ,1.6, ,140.9, ,21.1, 
225,Scott Valley,Northeast Plateau,7/28/2015,209,6.61, ,0.40, ,341, ,0.9, ,33.2, ,3.8, ,19.7, ,100, ,12, ,39, ,5.3, ,1.5, ,128.1, ,18.8, 
225,Scott Valley,Northeast Plateau,7/29/2015,210,6.75,R,0.00, ,337, ,0.8, ,36.5, ,7.1, ,22.5, ,86, ,11, ,31, ,4.5, ,1.3, ,112.3, ,20.1, 
225,Scott Valley,Northeast Plateau,7/30/2015,211,6.54, ,0.00, ,283, ,1.0, ,38.2,Y,7.4, ,22.9, ,82, ,12, ,36, ,6.9, ,1.7, ,146.1, ,20.3, 
225,Scott Valley,Northeast Plateau,7/31/2015,212,6.09, ,0.60, ,272, ,1.3, ,39.5,Y,10.2, ,24.5, ,84, ,14, ,41, ,10.4, ,1.5, ,132.3, ,20.7, 
225,Scott Valley,Northeast Plateau,8/1/2015,213,5.24, ,0.00, ,246, ,1.5,Y,38.3,Y,14.3, ,24.2, ,86, ,19, ,51,Y,13.5,Y,1.4, ,119.8, ,21.1, 
225,Scott Valley,Northeast Plateau,8/2/2015,214,1.72, ,0.40, ,106, ,1.9,R,28.6, ,16.9,Y,21.5, ,90, ,47, ,,R,,I,1.2, ,101.7, ,20.9, 
225,Scott Valley,Northeast Plateau,8/3/2015,215,5.72, ,0.00, ,263, ,1.4, ,33.7, ,12.8, ,22.8, ,98, ,23, ,52, ,12.5, ,1.5, ,133.1, ,20.7, 
225,Scott Valley,Northeast Plateau,8/4/2015,216,5.40, ,1.40, ,268, ,1.3, ,33.4, ,10.6, ,20.8, ,91, ,16, ,54, ,11.1, ,1.7, ,145.5, ,20.9, 
225,Scott Valley,Northeast Plateau,8/5/2015,217,5.91, ,0.00, ,299, ,1.3, ,31.0, ,11.5, ,20.9, ,98, ,21, ,51, ,10.4, ,1.6, ,140.5, ,21.1, 
225,Scott Valley,Northeast Plateau,8/6/2015,218,5.81, ,0.00, ,280, ,1.0, ,32.3, ,13.1, ,24.8,Y,86, ,20, ,31,Y,6.5,Y,1.9, ,160.1, ,21.2, 
225,Scott Valley,Northeast Plateau,8/7/2015,219,4.55, ,0.00, ,222, ,1.1, ,30.3, ,9.5, ,19.6, ,87, ,27, ,49, ,8.7, ,1.4, ,118.8, ,20.4, 
225,Scott Valley,Northeast Plateau,8/8/2015,220,5.89, ,0.00, ,282, ,1.0, ,30.7, ,8.7, ,19.7, ,90, ,23, ,45, ,7.5, ,1.6, ,139.6, ,20.1, 
225,Scott Valley,Northeast Plateau,8/9/2015,221,5.01, ,0.30, ,241, ,1.0, ,30.1, ,6.6, ,18.0, ,100, ,22, ,51, ,7.6, ,1.7, ,146.4, ,18.1, 
225,Scott Valley,Northeast Plateau,8/10/2015,222,5.35, ,0.00, ,255, ,1.0, ,29.3, ,7.8, ,18.5, ,92, ,22, ,49, ,7.7, ,1.8, ,157.9, ,18.5, 
225,Scott Valley,Northeast Plateau,8/11/2015,223,4.99, ,0.00, ,227, ,1.0, ,28.9, ,11.5, ,19.0, ,84, ,19, ,46, ,7.2, ,1.8, ,157.8, ,18.9, 
225,Scott Valley,Northeast Plateau,8/12/2015,224,6.85, ,0.00, ,312, ,0.9, ,30.0, ,5.7, ,18.9, ,77, ,19, ,39, ,4.8, ,2.4, ,210.1, ,18.9, 
225,Scott Valley,Northeast Plateau,8/13/2015,225,6.71, ,0.00, ,313, ,0.9, ,30.9, ,5.3, ,18.7, ,84, ,18, ,42, ,5.6, ,2.3, ,196.0, ,18.6, 
225,Scott Valley,Northeast Plateau,8/14/2015,226,5.58, ,0.00, ,292, ,1.0, ,26.6, ,5.8, ,16.9, ,90, ,30, ,53, ,7.2, ,1.7, ,150.5, ,18.6, 
225,Scott Valley,Northeast Plateau,8/15/2015,227,5.50, ,0.00, ,306, ,1.0, ,31.7, ,4.4, ,18.2, ,93, ,19, ,46, ,6.5, ,1.2, ,100.8, ,18.4, 
225,Scott Valley,Northeast Plateau,8/16/2015,228,5.89, ,0.00, ,299, ,1.0, ,34.9, ,5.8, ,20.4, ,86, ,16, ,41, ,6.8, ,1.3, ,113.1, ,18.6, 
225,Scott Valley,Northeast Plateau,8/17/2015,229,5.67, ,0.00, ,278, ,1.0, ,35.9, ,7.7, ,20.9, ,83, ,15, ,40, ,7.0, ,1.2, ,105.5, ,18.9, 
225,Scott Valley,Northeast Plateau,8/18/2015,230,5.34, ,0.00, ,252, ,1.1, ,35.9, ,7.9, ,21.1, ,85, ,17, ,42, ,7.8, ,1.2, ,107.1, ,18.9, 
225,Scott Valley,Northeast Plateau,8/19/2015,231,3.47, ,0.00, ,178, ,1.2, ,32.5, ,10.3, ,19.9, ,85, ,28, ,52, ,9.7, ,1.0,Y,86.4,Y,18.8, 
225,Scott Valley,Northeast Plateau,8/20/2015,232,5.43, ,0.00, ,258, ,1.1, ,34.4, ,7.6, ,20.6, ,84, ,20, ,44, ,8.0, ,1.5, ,126.7, ,18.8, 
225,Scott Valley,Northeast Plateau,8/21/2015,233,5.66, ,0.00, ,282, ,1.1, ,33.3, ,7.7, ,20.8, ,86, ,19, ,43, ,7.8, ,1.5, ,126.2, ,18.9, 
225,Scott Valley,Northeast Plateau,8/22/2015,234,5.49, ,0.00, ,265, ,1.2, ,34.1, ,8.2, ,21.3, ,90, ,23, ,49, ,10.0, ,1.4, ,121.2, ,19.2, 
225,Scott Valley,Northeast Plateau,8/23/2015,235,5.71, ,0.00, ,273, ,1.2, ,35.2, ,7.4, ,21.6, ,91, ,17, ,45, ,9.1, ,1.4, ,120.7, ,19.3, 
225,Scott Valley,Northeast Plateau,8/24/2015,236,6.00, ,0.00, ,276, ,1.1, ,33.4, ,9.5, ,22.0, ,86, ,20, ,43, ,8.8, ,1.7, ,148.5, ,19.5, 
225,Scott Valley,Northeast Plateau,8/25/2015,237,5.49, ,0.40, ,260, ,1.1, ,34.1, ,7.3, ,19.9, ,86, ,21, ,46, ,7.9, ,1.6, ,137.7, ,19.5, 
225,Scott Valley,Northeast Plateau,8/26/2015,238,4.92, ,0.00, ,248, ,1.1, ,31.9, ,6.5, ,19.5, ,87, ,25, ,48, ,8.2, ,1.4, ,118.2, ,19.3, 
225,Scott Valley,Northeast Plateau,8/27/2015,239,5.45, ,0.00, ,256, ,1.1, ,32.8, ,7.2, ,20.5, ,87, ,21, ,45, ,8.0, ,1.7, ,145.5, ,19.3, 
