Date,Scott_m3,Paul_m3,Jim_m3,Judd_m3,Alan_m3,POD_m3
2023-12-23,19825.3135379884,21171.5234732279,18291.957739978,6476.62304932507,0,21954.3419595806
2023-12-24,18899.7782793001,20508.909887384,17436.5066105616,7313.89478036059,0,20877.1701302857
2023-12-25,18268.4264626345,19965.4817965323,16764.6334246079,7222.91283799664,0,20105.395203697
2023-12-26,18067.9433776869,19706.7226962143,16423.5573288177,7184.60018066131,0,19821.9155195995
2023-12-27,18536.1053612235,19788.9547412267,16463.2291935087,7958.83867058194,0,20487.6722724531
2023-12-28,20434.238433287,21133.6355681911,18748.6514114519,9449.12458551255,0,22215.8194746097
2023-12-29,34150.4246107145,19665.6916241678,17880.3727626173,9722.66506582245,0,24547.8794949412
2023-12-30,38478.2257813319,24028.9171364899,23192.8347118905,11200.1234613348,0,30367.9204410628
2023-12-31,37914.1547287673,22804.2713091149,22874.9500916049,12860.6500975514,0,26189.1223768006
2024-01-01,41956.352453794,20281.5824571637,18574.672869938,10256.4937547254,0,23804.9027741988
2024-01-02,40592.1330210932,19464.953687841,17367.1020849674,9605.17858002475,0,22319.6289363919
2024-01-03,37092.3439814015,19503.7760479347,17242.9894633113,9371.30996440576,0,22006.2466904717
2024-01-04,26431.5709888517,20263.4030587829,18734.2947837586,10298.8840341274,0,21158.271201511
2024-01-05,26738.9217521315,19819.4519562675,18072.6156529717,10263.7994942616,0,20894.2451726901
2024-01-06,31923.0235567625,19858.3592668209,18098.1857413485,10728.9882117079,0,20821.7824305459
2024-01-07,31509.3997683684,19539.2003896394,17624.162176091,10521.6241395226,0,20583.7512424005
2024-01-08,31106.9894406579,19277.1282213922,17179.5314698978,10198.7274421133,0,20148.6349876963
2024-01-09,33874.8453193713,18902.581644471,16672.6320767273,10189.7226933826,0,20326.3513494381
2024-01-10,32394.9233605269,20335.6959000076,18484.7103330908,10959.2889080185,0,20949.0382192118
2024-01-11,32255.9444084192,20068.0170014187,18248.7179559787,11415.6427776535,0,20780.6664080397
2024-01-12,31858.2913064531,19570.2073074385,17561.0439845164,10976.8736531813,0,20330.2590705853
2024-01-13,30172.704284618,26358.3436925699,26853.4349718389,17748.4446986666,0,17024.4968809023
2024-01-14,12448.6403678921,13160.100468077,9656.31875677834,11757.5683780409,0,15644.136860854
2024-01-15,31525.8801575548,29620.1015441162,27317.0945810102,14778.4916762708,0,30399.3521111605
2024-01-16,29366.2695704622,28046.0544758981,22510.76747077,16557.2693524226,0,28453.0521284338
2024-01-17,32547.1545843516,28817.0648483493,23406.9098703939,16464.7583017837,0,30326.6345176371
2024-01-18,31775.7194596018,27779.8197351245,22549.2500290247,15942.5678258629,0,29259.5717930494
2024-01-19,31137.5716061583,27110.4950629624,21775.5212418625,15077.8570963367,0,28668.4864942927
2024-01-20,30676.1207089399,28177.5577875502,23144.9226526064,14781.9746451195,0,26847.8282414972
2024-01-21,12964.969262092,15270.43978853,10667.1442770291,10118.4492576746,0,13650.6044225209
2024-01-22,19711.9896247172,21807.632515638,16458.217116385,10106.641143773,0,17268.4746012284
2024-01-23,8873.07551812701,13496.2494372032,8618.81879217436,7052.67211671061,0,9648.50331448377
2024-01-24,10885.8917108173,13170.2945232439,5434.70566081547,3673.85253166528,0,11921.4378148476
2024-01-25,18830.2888032462,19486.6160550705,8968.13508255769,2843.2069364882,0,17022.9677726273
2024-01-26,20074.8979886563,18359.0686031596,7647.83503753395,4129.4418471628,706.448023061218,16368.5094309169
2024-01-27,26812.4888502522,19014.8861522256,8240.78924640447,3825.14930043296,2337.41189929406,14523.3004952612
2024-01-28,19963.9526882573,14953.1498214624,3591.45058573342,2819.25090684616,2456.25759244734,11103.1949867902
2024-01-29,25614.0927149317,15514.757310695,3922.16272543728,453.3806035447,107.462331550318,19752.1711921664
2024-01-30,45151.8489467559,28916.6267871453,19733.2272396481,5116.48123869097,1170.27753315192,32505.1041067884
2024-01-31,35280.1807745783,30371.9980631295,18520.7293280135,11880.9164455595,12818.0049667702,29890.583807876
2024-02-01,33125.5822646094,32258.9176745095,19115.9771992966,5987.13850039785,4831.47244631839,26573.3533061303
2024-02-02,19283.4145554118,19102.3001752811,6358.8817121482,4773.36633186747,5255.54514125846,18397.8909632533
2024-02-03,39698.1993334221,34161.2133190994,19290.8901958674,7415.83533202887,3944.16489450569,33166.1036338975
2024-02-04,38282.7547735079,34823.6570040238,20257.7113779814,14704.4998258516,15451.3842677412,31868.9950643783
2024-02-05,40502.4253356251,35697.2025813613,21358.7542864586,19002.143583267,16988.6477868989,27674.4811650672
2024-02-06,23294.0107094213,25548.6808609446,10844.3509360125,8776.99654817965,7518.2855864555,20140.3947931032
2024-02-07,42237.7083763985,36382.92269225,20602.015591241,11357.4517127429,6140.21922881973,34303.4203886767
2024-02-08,39830.5521496714,35854.7856841485,20029.9591954625,13530.5694229315,11011.363539829,32705.6721421957
2024-02-09,38197.5494624052,34996.9559418599,18940.7244008869,7269.38073946543,4049.41851410319,31508.2104619323
2024-02-10,21705.9468153488,20154.0718171186,10619.8268709631,4046.36029755314,2126.05515550182,17921.4887851235
