"","Date","mean_cfs","Qual_Flag","AF"
"53",1941-11-22,150,"A",297.52272
"54",1941-11-23,150,"A",297.52272
"55",1941-11-24,150,"A",297.52272
"56",1941-11-25,150,"A",297.52272
"57",1941-11-26,150,"A",297.52272
"58",1941-11-27,150,"A",297.52272
"59",1941-11-28,150,"A",297.52272
"60",1941-11-29,150,"A",297.52272
"61",1941-11-30,150,"A",297.52272
"62",1941-12-01,1000,"A",1983.4848
"63",1941-12-02,1000,"A",1983.4848
"64",1941-12-03,1000,"A",1983.4848
"65",1941-12-04,1000,"A",1983.4848
"66",1941-12-05,1000,"A",1983.4848
"67",1941-12-06,1000,"A",1983.4848
"68",1941-12-07,1000,"A",1983.4848
"69",1941-12-08,1000,"A",1983.4848
"70",1941-12-09,1000,"A",1983.4848
"71",1941-12-10,1000,"A",1983.4848
"72",1941-12-11,1000,"A",1983.4848
"73",1941-12-12,1000,"A",1983.4848
"74",1941-12-13,1000,"A",1983.4848
"75",1941-12-14,1000,"A",1983.4848
"76",1941-12-15,1000,"A",1983.4848
"77",1941-12-16,1270,"A",2519.025696
"78",1941-12-17,4170,"A",8271.131616
"79",1941-12-18,3220,"A",6386.821056
"80",1941-12-19,3650,"A",7239.71952
"81",1941-12-20,3550,"A",7041.37104
"82",1941-12-21,2580,"A",5117.390784
"83",1941-12-22,2000,"A",3966.9696
"84",1941-12-23,1830,"A",3629.777184
"85",1941-12-24,1610,"A",3193.410528
"86",1941-12-25,1400,"A",2776.87872
"87",1941-12-26,1240,"A",2459.521152
"88",1941-12-27,1120,"A",2221.502976
"89",1941-12-28,1050,"A",2082.65904
"90",1941-12-29,1000,"A",1983.4848
"91",1941-12-30,930,"A",1844.640864
"92",1941-12-31,880,"A",1745.466624
"93",1942-01-01,771,"A",1529.2667808
"94",1942-01-02,681,"A",1350.7531488
"95",1942-01-03,660,"A",1309.099968
"96",1942-01-04,635,"A",1259.512848
"97",1942-01-05,614,"A",1217.8596672
"98",1942-01-06,592,"A",1174.2230016
"99",1942-01-07,1090,"A",2161.998432
"100",1942-01-08,1950,"A",3867.79536
"101",1942-01-09,1620,"A",3213.245376
"102",1942-01-10,1370,"A",2717.374176
"103",1942-01-11,1240,"A",2459.521152
"104",1942-01-12,1150,"A",2281.00752
"105",1942-01-13,1100,"A",2181.83328
"106",1942-01-14,1030,"A",2042.989344
"107",1942-01-15,986,"A",1955.7160128
"108",1942-01-16,940,"A",1864.475712
"109",1942-01-17,890,"A",1765.301472
"110",1942-01-18,845,"A",1676.044656
"111",1942-01-19,805,"A",1596.705264
"112",1942-01-20,776,"A",1539.1842048
"113",1942-01-21,748,"A",1483.6466304
"114",1942-01-22,771,"A",1529.2667808
"115",1942-01-23,960,"A",1904.145408
"116",1942-01-24,1210,"A",2400.016608
"117",1942-01-25,1820,"A",3609.942336
"118",1942-01-26,1640,"A",3252.915072
"119",1942-01-27,2210,"A",4383.501408
"120",1942-01-28,2110,"A",4185.152928
"121",1942-01-29,1720,"A",3411.593856
"122",1942-01-30,1490,"A",2955.392352
"123",1942-01-31,1400,"A",2776.87872
"124",1942-02-01,1360,"A",2697.539328
"125",1942-02-02,1720,"A",3411.593856
"126",1942-02-03,1740,"A",3451.263552
"127",1942-02-04,2270,"A",4502.510496
"128",1942-02-05,2700,"A",5355.40896
"129",1942-02-06,3550,"A",7041.37104
"130",1942-02-07,3100,"A",6148.80288
"131",1942-02-08,2700,"A",5355.40896
"132",1942-02-09,2300,"A",4562.01504
"133",1942-02-10,2000,"A",3966.9696
"134",1942-02-11,1700,"A",3371.92416
"135",1942-02-12,1500,"A",2975.2272
"136",1942-02-13,1340,"A",2657.869632
"137",1942-02-14,1210,"A",2400.016608
"138",1942-02-15,1140,"A",2261.172672
"139",1942-02-16,1060,"A",2102.493888
"140",1942-02-17,994,"A",1971.5838912
"141",1942-02-18,964,"A",1912.0793472
"142",1942-02-19,920,"A",1824.806016
"143",1942-02-20,880,"A",1745.466624
"144",1942-02-21,880,"A",1745.466624
"145",1942-02-22,850,"A",1685.96208
"146",1942-02-23,805,"A",1596.705264
"147",1942-02-24,800,"A",1586.78784
"148",1942-02-25,781,"A",1549.1016288
"149",1942-02-26,754,"A",1495.5475392
"150",1942-02-27,722,"A",1432.0760256
"151",1942-02-28,692,"A",1372.5714816
"152",1942-03-01,676,"A",1340.8357248
"153",1942-03-02,660,"A",1309.099968
"154",1942-03-03,637,"A",1263.4798176
"155",1942-03-04,622,"A",1233.7275456
"156",1942-03-05,618,"A",1225.7936064
"157",1942-03-06,626,"A",1241.6614848
"158",1942-03-07,637,"A",1263.4798176
"159",1942-03-08,633,"A",1255.5458784
"160",1942-03-09,641,"A",1271.4137568
"161",1942-03-10,680,"A",1348.769664
"162",1942-03-11,718,"A",1424.1420864
"163",1942-03-12,718,"A",1424.1420864
"164",1942-03-13,709,"A",1406.2907232
"165",1942-03-14,692,"A",1372.5714816
"166",1942-03-15,680,"A",1348.769664
"167",1942-03-16,656,"A",1301.1660288
"168",1942-03-17,637,"A",1263.4798176
"169",1942-03-18,618,"A",1225.7936064
"170",1942-03-19,604,"A",1198.0248192
"171",1942-03-20,590,"A",1170.256032
"172",1942-03-21,576,"A",1142.4872448
"173",1942-03-22,555,"A",1100.834064
"174",1942-03-23,545,"A",1080.999216
"175",1942-03-24,540,"A",1071.081792
"176",1942-03-25,535,"A",1061.164368
"177",1942-03-26,525,"A",1041.32952
"178",1942-03-27,520,"A",1031.412096
"179",1942-03-28,512,"A",1015.5442176
"180",1942-03-29,508,"A",1007.6102784
"181",1942-03-30,505,"A",1001.659824
"182",1942-03-31,515,"A",1021.494672
"183",1942-04-01,532,"A",1055.2139136
"184",1942-04-02,535,"A",1061.164368
"185",1942-04-03,542,"A",1075.0487616
"186",1942-04-04,579,"A",1148.4376992
"187",1942-04-05,608,"A",1205.9587584
"188",1942-04-06,611,"A",1211.9092128
"189",1942-04-07,608,"A",1205.9587584
"190",1942-04-08,633,"A",1255.5458784
"191",1942-04-09,680,"A",1348.769664
"192",1942-04-10,750,"A",1487.6136
"193",1942-04-11,815,"A",1616.540112
"194",1942-04-12,915,"A",1814.888592
"195",1942-04-13,1050,"A",2082.65904
"196",1942-04-14,1180,"A",2340.512064
"197",1942-04-15,1020,"A",2023.154496
"198",1942-04-16,935,"A",1854.558288
"199",1942-04-17,910,"A",1804.971168
"200",1942-04-18,835,"A",1656.209808
"201",1942-04-19,800,"A",1586.78784
"202",1942-04-20,825,"A",1636.37496
"203",1942-04-21,825,"A",1636.37496
"204",1942-04-22,970,"A",1923.980256
"205",1942-04-23,958,"A",1900.1784384
"206",1942-04-24,890,"A",1765.301472
"207",1942-04-25,855,"A",1695.879504
"208",1942-04-26,825,"A",1636.37496
"209",1942-04-27,781,"A",1549.1016288
"210",1942-04-28,745,"A",1477.696176
"211",1942-04-29,684,"A",1356.7036032
"212",1942-04-30,660,"A",1309.099968
"213",1942-05-01,645,"A",1279.347696
"214",1942-05-02,611,"A",1211.9092128
"215",1942-05-03,597,"A",1184.1404256
"216",1942-05-04,586,"A",1162.3220928
"217",1942-05-05,562,"A",1114.7184576
"218",1942-05-06,566,"A",1122.6523968
"219",1942-05-07,618,"A",1225.7936064
"220",1942-05-08,754,"A",1495.5475392
"221",1942-05-09,880,"A",1745.466624
"222",1942-05-10,865,"A",1715.714352
"223",1942-05-11,835,"A",1656.209808
"224",1942-05-12,800,"A",1586.78784
"225",1942-05-13,736,"A",1459.8448128
"226",1942-05-14,722,"A",1432.0760256
"227",1942-05-15,745,"A",1477.696176
"228",1942-05-16,772,"A",1531.2502656
"229",1942-05-17,763,"A",1513.3989024
"230",1942-05-18,810,"A",1606.622688
"231",1942-05-19,875,"A",1735.5492
"232",1942-05-20,1160,"A",2300.842368
"233",1942-05-21,1750,"A",3471.0984
"234",1942-05-22,2390,"A",4740.528672
"235",1942-05-23,2240,"A",4443.005952
"236",1942-05-24,2110,"A",4185.152928
"237",1942-05-25,3140,"A",6228.142272
"238",1942-05-26,3820,"A",7576.911936
"239",1942-05-27,2520,"A",4998.381696
"240",1942-05-28,2000,"A",3966.9696
"241",1942-05-29,1730,"A",3431.428704
"242",1942-05-30,1510,"A",2995.062048
"243",1942-05-31,1400,"A",2776.87872
"244",1942-06-01,1420,"A",2816.548416
"245",1942-06-02,1570,"A",3114.071136
"246",1942-06-03,1590,"A",3153.740832
"247",1942-06-04,1670,"A",3312.419616
"248",1942-06-05,1760,"A",3490.933248
"249",1942-06-06,1850,"A",3669.44688
"250",1942-06-07,1590,"A",3153.740832
"251",1942-06-08,1490,"A",2955.392352
"252",1942-06-09,1400,"A",2776.87872
"253",1942-06-10,1320,"A",2618.199936
"254",1942-06-11,1190,"A",2360.346912
"255",1942-06-12,1070,"A",2122.328736
"256",1942-06-13,1020,"A",2023.154496
"257",1942-06-14,1050,"A",2082.65904
"258",1942-06-15,1090,"A",2161.998432
"259",1942-06-16,1020,"A",2023.154496
"260",1942-06-17,920,"A",1824.806016
"261",1942-06-18,860,"A",1705.796928
"262",1942-06-19,795,"A",1576.870416
"263",1942-06-20,740,"A",1467.778752
"264",1942-06-21,700,"A",1388.43936
"265",1942-06-22,672,"A",1332.9017856
"266",1942-06-23,660,"A",1309.099968
"267",1942-06-24,649,"A",1287.2816352
"268",1942-06-25,645,"A",1279.347696
"269",1942-06-26,645,"A",1279.347696
"270",1942-06-27,618,"A",1225.7936064
"271",1942-06-28,586,"A",1162.3220928
"272",1942-06-29,572,"A",1134.5533056
"273",1942-06-30,572,"A",1134.5533056
"274",1942-07-01,576,"A",1142.4872448
"275",1942-07-02,583,"A",1156.3716384
"276",1942-07-03,562,"A",1114.7184576
"277",1942-07-04,542,"A",1075.0487616
"278",1942-07-05,528,"A",1047.2799744
"279",1942-07-06,515,"A",1021.494672
"280",1942-07-07,430,"A",852.898464
"281",1942-07-08,369,"A",731.9058912
"282",1942-07-09,374,"A",741.8233152
"283",1942-07-10,343,"A",680.3352864
"284",1942-07-11,327,"A",648.5995296
"285",1942-07-12,317,"A",628.7646816
"286",1942-07-13,292,"A",579.1775616
"287",1942-07-14,277,"A",549.4252896
"288",1942-07-15,259,"A",513.7225632
"289",1942-07-16,248,"A",491.9042304
"290",1942-07-17,246,"A",487.9372608
"291",1942-07-18,242,"A",480.0033216
"292",1942-07-19,231,"A",458.1849888
"293",1942-07-20,220,"A",436.366656
"294",1942-07-21,210,"A",416.531808
"295",1942-07-22,194,"A",384.7960512
"296",1942-07-23,173,"A",343.1428704
"297",1942-07-24,156,"A",309.4236288
"298",1942-07-25,146,"A",289.5887808
"299",1942-07-26,138,"A",273.7209024
"300",1942-07-27,134,"A",265.7869632
"301",1942-07-28,128,"A",253.8860544
"302",1942-07-29,119,"A",236.0346912
"303",1942-07-30,117,"A",232.0677216
"304",1942-07-31,115,"A",228.100752
"305",1942-08-01,110,"A",218.183328
"306",1942-08-02,110,"A",218.183328
"307",1942-08-03,109,"A",216.1998432
"308",1942-08-04,105,"A",208.265904
"309",1942-08-05,105,"A",208.265904
"310",1942-08-06,105,"A",208.265904
"311",1942-08-07,104,"A",206.2824192
"312",1942-08-08,101,"A",200.3319648
"313",1942-08-09,99,"A",196.3649952
"314",1942-08-10,96,"A",190.4145408
"315",1942-08-11,94,"A",186.4475712
"316",1942-08-12,92,"A",182.4806016
"317",1942-08-13,91,"A",180.4971168
"318",1942-08-14,91,"A",180.4971168
"319",1942-08-15,89,"A",176.5301472
"320",1942-08-16,88,"A",174.5466624
"321",1942-08-17,86,"A",170.5796928
"322",1942-08-18,85,"A",168.596208
"323",1942-08-19,84,"A",166.6127232
"324",1942-08-20,83,"A",164.6292384
"325",1942-08-21,83,"A",164.6292384
"326",1942-08-22,82,"A",162.6457536
"327",1942-08-23,80,"A",158.678784
"328",1942-08-24,78,"A",154.7118144
"329",1942-08-25,77,"A",152.7283296
"330",1942-08-26,76,"A",150.7448448
"331",1942-08-27,75,"A",148.76136
"332",1942-08-28,75,"A",148.76136
"333",1942-08-29,75,"A",148.76136
"334",1942-08-30,75,"A",148.76136
"335",1942-08-31,75,"A",148.76136
"336",1942-09-01,74,"A",146.7778752
"337",1942-09-02,74,"A",146.7778752
"338",1942-09-03,73,"A",144.7943904
"339",1942-09-04,72,"A",142.8109056
"340",1942-09-05,72,"A",142.8109056
"341",1942-09-06,72,"A",142.8109056
"342",1942-09-07,72,"A",142.8109056
"343",1942-09-08,72,"A",142.8109056
"344",1942-09-09,72,"A",142.8109056
"345",1942-09-10,72,"A",142.8109056
"346",1942-09-11,71,"A",140.8274208
"347",1942-09-12,71,"A",140.8274208
"348",1942-09-13,70,"A",138.843936
"349",1942-09-14,69,"A",136.8604512
"350",1942-09-15,68,"A",134.8769664
"351",1942-09-16,67,"A",132.8934816
"352",1942-09-17,66,"A",130.9099968
"353",1942-09-18,65,"A",128.926512
"354",1942-09-19,65,"A",128.926512
"355",1942-09-20,65,"A",128.926512
"356",1942-09-21,65,"A",128.926512
"357",1942-09-22,64,"A",126.9430272
"358",1942-09-23,64,"A",126.9430272
"359",1942-09-24,64,"A",126.9430272
"360",1942-09-25,64,"A",126.9430272
"361",1942-09-26,63,"A",124.9595424
"362",1942-09-27,63,"A",124.9595424
"363",1942-09-28,63,"A",124.9595424
"364",1942-09-29,62,"A",122.9760576
"365",1942-09-30,61,"A",120.9925728
"366",1942-10-01,61,"A",120.9925728
"367",1942-10-02,61,"A",120.9925728
"368",1942-10-03,62,"A",122.9760576
"369",1942-10-04,62,"A",122.9760576
"370",1942-10-05,62,"A",122.9760576
"371",1942-10-06,62,"A",122.9760576
"372",1942-10-07,62,"A",122.9760576
"373",1942-10-08,62,"A",122.9760576
"374",1942-10-09,62,"A",122.9760576
"375",1942-10-10,64,"A",126.9430272
"376",1942-10-11,65,"A",128.926512
"377",1942-10-12,66,"A",130.9099968
"378",1942-10-13,66,"A",130.9099968
"379",1942-10-14,66,"A",130.9099968
"380",1942-10-15,66,"A",130.9099968
"381",1942-10-16,66,"A",130.9099968
"382",1942-10-17,66,"A",130.9099968
"383",1942-10-18,69,"A",136.8604512
"384",1942-10-19,74,"A",146.7778752
"385",1942-10-20,74,"A",146.7778752
"386",1942-10-21,72,"A",142.8109056
"387",1942-10-22,70,"A",138.843936
"388",1942-10-23,68,"A",134.8769664
"389",1942-10-24,68,"A",134.8769664
"390",1942-10-25,68,"A",134.8769664
"391",1942-10-26,68,"A",134.8769664
"392",1942-10-27,69,"A",136.8604512
"393",1942-10-28,70,"A",138.843936
"394",1942-10-29,71,"A",140.8274208
"395",1942-10-30,71,"A",140.8274208
"396",1942-10-31,70,"A",138.843936
"397",1942-11-01,70,"A",138.843936
"398",1942-11-02,71,"A",140.8274208
"399",1942-11-03,72,"A",142.8109056
"400",1942-11-04,77,"A",152.7283296
"401",1942-11-05,82,"A",162.6457536
"402",1942-11-06,84,"A",166.6127232
"403",1942-11-07,89,"A",176.5301472
"404",1942-11-08,94,"A",186.4475712
"405",1942-11-09,129,"A",255.8695392
"406",1942-11-10,119,"A",236.0346912
"407",1942-11-11,109,"A",216.1998432
"408",1942-11-12,102,"A",202.3154496
"409",1942-11-13,104,"A",206.2824192
"410",1942-11-14,115,"A",228.100752
"411",1942-11-15,347,"A",688.2692256
"412",1942-11-16,358,"A",710.0875584
"413",1942-11-17,372,"A",737.8563456
"414",1942-11-18,460,"A",912.403008
"415",1942-11-19,427,"A",846.9480096
"416",1942-11-20,322,"A",638.6821056
"417",1942-11-21,268,"A",531.5739264
"418",1942-11-22,300,"A",595.04544
"419",1942-11-23,635,"A",1259.512848
"420",1942-11-24,1910,"A",3788.455968
"421",1942-11-25,1130,"A",2241.337824
"422",1942-11-26,918,"A",1820.8390464
"423",1942-11-27,3080,"A",6109.133184
"424",1942-11-28,2210,"A",4383.501408
"425",1942-11-29,1980,"A",3927.299904
"426",1942-11-30,2440,"A",4839.702912
"427",1942-12-01,1720,"A",3411.593856
"428",1942-12-02,2490,"A",4938.877152
"429",1942-12-03,1630,"A",3233.080224
"430",1942-12-04,1630,"A",3233.080224
"431",1942-12-05,935,"A",1854.558288
"432",1942-12-06,850,"A",1685.96208
"433",1942-12-07,795,"A",1576.870416
"434",1942-12-08,781,"A",1549.1016288
"435",1942-12-09,810,"A",1606.622688
"436",1942-12-10,763,"A",1513.3989024
"437",1942-12-11,692,"A",1372.5714816
"438",1942-12-12,641,"A",1271.4137568
"439",1942-12-13,656,"A",1301.1660288
"440",1942-12-14,649,"A",1287.2816352
"441",1942-12-15,611,"A",1211.9092128
"442",1942-12-16,593,"A",1176.2064864
"443",1942-12-17,593,"A",1176.2064864
"444",1942-12-18,586,"A",1162.3220928
"445",1942-12-19,572,"A",1134.5533056
"446",1942-12-20,569,"A",1128.6028512
"447",1942-12-21,569,"A",1128.6028512
"448",1942-12-22,590,"A",1170.256032
"449",1942-12-23,745,"A",1477.696176
"450",1942-12-24,1550,"A",3074.40144
"451",1942-12-25,1660,"A",3292.584768
"452",1942-12-26,1330,"A",2638.034784
"453",1942-12-27,3050,"A",6049.62864
"454",1942-12-28,5770,"A",11444.707296
"455",1942-12-29,3510,"A",6962.031648
"456",1942-12-30,2900,"A",5752.10592
"457",1942-12-31,4070,"A",8072.783136
"458",1943-01-01,3710,"A",7358.728608
"459",1943-01-02,3260,"A",6466.160448
"460",1943-01-03,2490,"A",4938.877152
"461",1943-01-04,2100,"A",4165.31808
"462",1943-01-05,1810,"A",3590.107488
"463",1943-01-06,1540,"A",3054.566592
"464",1943-01-07,1350,"A",2677.70448
"465",1943-01-08,1210,"A",2400.016608
"466",1943-01-09,1100,"A",2181.83328
"467",1943-01-10,1010,"A",2003.319648
"468",1943-01-11,920,"A",1824.806016
"469",1943-01-12,860,"A",1705.796928
"470",1943-01-13,810,"A",1606.622688
"471",1943-01-14,776,"A",1539.1842048
"472",1943-01-15,758,"A",1503.4814784
"473",1943-01-16,740,"A",1467.778752
"474",1943-01-17,692,"A",1372.5714816
"475",1943-01-18,630,"A",1249.595424
"476",1943-01-19,626,"A",1241.6614848
"477",1943-01-20,672,"A",1332.9017856
"478",1943-01-21,3060,"A",6069.463488
"479",1943-01-22,6220,"A",12337.275456
"480",1943-01-23,3460,"A",6862.857408
"481",1943-01-24,2570,"A",5097.555936
"482",1943-01-25,2070,"A",4105.813536
"483",1943-01-26,1850,"A",3669.44688
"484",1943-01-27,1820,"A",3609.942336
"485",1943-01-28,1870,"A",3709.116576
"486",1943-01-29,1870,"A",3709.116576
"487",1943-01-30,1890,"A",3748.786272
"488",1943-01-31,1650,"A",3272.74992
"489",1943-02-01,1490,"A",2955.392352
"490",1943-02-02,1410,"A",2796.713568
"491",1943-02-03,1330,"A",2638.034784
"492",1943-02-04,1390,"A",2757.043872
"493",1943-02-05,1580,"A",3133.905984
"494",1943-02-06,1510,"A",2995.062048
"495",1943-02-07,1730,"A",3431.428704
"496",1943-02-08,1750,"A",3471.0984
"497",1943-02-09,1520,"A",3014.896896
"498",1943-02-10,1390,"A",2757.043872
"499",1943-02-11,1300,"A",2578.53024
"500",1943-02-12,1220,"A",2419.851456
"501",1943-02-13,1170,"A",2320.677216
"502",1943-02-14,1150,"A",2281.00752
"503",1943-02-15,1160,"A",2300.842368
"504",1943-02-16,1170,"A",2320.677216
"505",1943-02-17,1270,"A",2519.025696
"506",1943-02-18,1430,"A",2836.383264
"507",1943-02-19,1440,"A",2856.218112
"508",1943-02-20,1440,"A",2856.218112
"509",1943-02-21,1470,"A",2915.722656
"510",1943-02-22,1630,"A",3233.080224
"511",1943-02-23,1700,"A",3371.92416
"512",1943-02-24,1580,"A",3133.905984
"513",1943-02-25,1430,"A",2836.383264
"514",1943-02-26,1320,"A",2618.199936
"515",1943-02-27,1210,"A",2400.016608
"516",1943-02-28,1140,"A",2261.172672
"517",1943-03-01,1080,"A",2142.163584
"518",1943-03-02,1040,"A",2062.824192
"519",1943-03-03,1000,"A",1983.4848
"520",1943-03-04,982,"A",1947.7820736
"521",1943-03-05,958,"A",1900.1784384
"522",1943-03-06,946,"A",1876.3766208
"523",1943-03-07,994,"A",1971.5838912
"524",1943-03-08,1280,"A",2538.860544
"525",1943-03-09,1580,"A",3133.905984
"526",1943-03-10,1620,"A",3213.245376
"527",1943-03-11,1590,"A",3153.740832
"528",1943-03-12,1450,"A",2876.05296
"529",1943-03-13,1380,"A",2737.209024
"530",1943-03-14,1340,"A",2657.869632
"531",1943-03-15,1220,"A",2419.851456
"532",1943-03-16,1120,"A",2221.502976
"533",1943-03-17,1050,"A",2082.65904
"534",1943-03-18,970,"A",1923.980256
"535",1943-03-19,915,"A",1814.888592
"536",1943-03-20,870,"A",1725.631776
"537",1943-03-21,840,"A",1666.127232
"538",1943-03-22,810,"A",1606.622688
"539",1943-03-23,781,"A",1549.1016288
"540",1943-03-24,768,"A",1523.3163264
"541",1943-03-25,772,"A",1531.2502656
"542",1943-03-26,1270,"A",2519.025696
"543",1943-03-27,1810,"A",3590.107488
"544",1943-03-28,1590,"A",3153.740832
"545",1943-03-29,1910,"A",3788.455968
"546",1943-03-30,2110,"A",4185.152928
"547",1943-03-31,1640,"A",3252.915072
"548",1943-04-01,1460,"A",2895.887808
"549",1943-04-02,1390,"A",2757.043872
"550",1943-04-03,1480,"A",2935.557504
"551",1943-04-04,1510,"A",2995.062048
"552",1943-04-05,2030,"A",4026.474144
"553",1943-04-06,1980,"A",3927.299904
"554",1943-04-07,1750,"A",3471.0984
"555",1943-04-08,1640,"A",3252.915072
"556",1943-04-09,1470,"A",2915.722656
"557",1943-04-10,1310,"A",2598.365088
"558",1943-04-11,1210,"A",2400.016608
"559",1943-04-12,1190,"A",2360.346912
"560",1943-04-13,1300,"A",2578.53024
"561",1943-04-14,1550,"A",3074.40144
"562",1943-04-15,1830,"A",3629.777184
"563",1943-04-16,1780,"A",3530.602944
"564",1943-04-17,1650,"A",3272.74992
"565",1943-04-18,1630,"A",3233.080224
"566",1943-04-19,1730,"A",3431.428704
"567",1943-04-20,1630,"A",3233.080224
"568",1943-04-21,2110,"A",4185.152928
"569",1943-04-22,1790,"A",3550.437792
"570",1943-04-23,1640,"A",3252.915072
"571",1943-04-24,1600,"A",3173.57568
"572",1943-04-25,1430,"A",2836.383264
"573",1943-04-26,1270,"A",2519.025696
"574",1943-04-27,1190,"A",2360.346912
"575",1943-04-28,1220,"A",2419.851456
"576",1943-04-29,1120,"A",2221.502976
"577",1943-04-30,1040,"A",2062.824192
"578",1943-05-01,1030,"A",2042.989344
"579",1943-05-02,988,"A",1959.6829824
"580",1943-05-03,1040,"A",2062.824192
"581",1943-05-04,1130,"A",2241.337824
"582",1943-05-05,1070,"A",2122.328736
"583",1943-05-06,1040,"A",2062.824192
"584",1943-05-07,1050,"A",2082.65904
"585",1943-05-08,958,"A",1900.1784384
"586",1943-05-09,910,"A",1804.971168
"587",1943-05-10,925,"A",1834.72344
"588",1943-05-11,900,"A",1785.13632
"589",1943-05-12,825,"A",1636.37496
"590",1943-05-13,772,"A",1531.2502656
"591",1943-05-14,732,"A",1451.9108736
"592",1943-05-15,696,"A",1380.5054208
"593",1943-05-16,668,"A",1324.9678464
"594",1943-05-17,633,"A",1255.5458784
"595",1943-05-18,597,"A",1184.1404256
"596",1943-05-19,579,"A",1148.4376992
"597",1943-05-20,611,"A",1211.9092128
"598",1943-05-21,664,"A",1317.0339072
"599",1943-05-22,714,"A",1416.2081472
"600",1943-05-23,905,"A",1795.053744
"601",1943-05-24,1140,"A",2261.172672
"602",1943-05-25,1200,"A",2380.18176
"603",1943-05-26,1120,"A",2221.502976
"604",1943-05-27,1000,"A",1983.4848
"605",1943-05-28,952,"A",1888.2775296
"606",1943-05-29,900,"A",1785.13632
"607",1943-05-30,860,"A",1705.796928
"608",1943-05-31,1300,"A",2578.53024
"609",1943-06-01,1920,"A",3808.290816
"610",1943-06-02,1600,"A",3173.57568
"611",1943-06-03,1120,"A",2221.502976
"612",1943-06-04,915,"A",1814.888592
"613",1943-06-05,810,"A",1606.622688
"614",1943-06-06,745,"A",1477.696176
"615",1943-06-07,718,"A",1424.1420864
"616",1943-06-08,700,"A",1388.43936
"617",1943-06-09,718,"A",1424.1420864
"618",1943-06-10,732,"A",1451.9108736
"619",1943-06-11,718,"A",1424.1420864
"620",1943-06-12,668,"A",1324.9678464
"621",1943-06-13,615,"A",1219.843152
"622",1943-06-14,576,"A",1142.4872448
"623",1943-06-15,549,"A",1088.9331552
"624",1943-06-16,542,"A",1075.0487616
"625",1943-06-17,538,"A",1067.1148224
"626",1943-06-18,542,"A",1075.0487616
"627",1943-06-19,525,"A",1041.32952
"628",1943-06-20,496,"A",983.8084608
"629",1943-06-21,489,"A",969.9240672
"630",1943-06-22,486,"A",963.9736128
"631",1943-06-23,464,"A",920.3369472
"632",1943-06-24,448,"A",888.6011904
"633",1943-06-25,480,"A",952.072704
"634",1943-06-26,460,"A",912.403008
"635",1943-06-27,430,"A",852.898464
"636",1943-06-28,418,"A",829.0966464
"637",1943-06-29,415,"A",823.146192
"638",1943-06-30,421,"A",835.0471008
"639",1943-07-01,421,"A",835.0471008
"640",1943-07-02,394,"A",781.4930112
"641",1943-07-03,380,"A",753.724224
"642",1943-07-04,361,"A",716.0380128
"643",1943-07-05,348,"A",690.2527104
"644",1943-07-06,335,"A",664.467408
"645",1943-07-07,324,"A",642.6490752
"646",1943-07-08,312,"A",618.8472576
"647",1943-07-09,295,"A",585.128016
"648",1943-07-10,266,"A",527.6069568
"649",1943-07-11,259,"A",513.7225632
"650",1943-07-12,244,"A",483.9702912
"651",1943-07-13,233,"A",462.1519584
"652",1943-07-14,223,"A",442.3171104
"653",1943-07-15,213,"A",422.4822624
