rowcol Oct-1990 Nov-1990 Dec-1990 Jan-1991 Feb-1991 Mar-1991 Apr-1991 May-1991 Jun-1991 Jul-1991 Aug-1991 Sep-1991 Oct-1991 Nov-1991 Dec-1991 Jan-1992 Feb-1992 Mar-1992 Apr-1992 May-1992 Jun-1992 Jul-1992 Aug-1992 Sep-1992 Oct-1992 Nov-1992 Dec-1992 Jan-1993 Feb-1993 Mar-1993 Apr-1993 May-1993 Jun-1993 Jul-1993 Aug-1993 Sep-1993 Oct-1993 Nov-1993 Dec-1993 Jan-1994 Feb-1994 Mar-1994 Apr-1994 May-1994 Jun-1994 Jul-1994 Aug-1994 Sep-1994 Oct-1994 Nov-1994 Dec-1994 Jan-1995 Feb-1995 Mar-1995 Apr-1995 May-1995 Jun-1995 Jul-1995 Aug-1995 Sep-1995 Oct-1995 Nov-1995 Dec-1995 Jan-1996 Feb-1996 Mar-1996 Apr-1996 May-1996 Jun-1996 Jul-1996 Aug-1996 Sep-1996 Oct-1996 Nov-1996 Dec-1996 Jan-1997 Feb-1997 Mar-1997 Apr-1997 May-1997 Jun-1997 Jul-1997 Aug-1997 Sep-1997 Oct-1997 Nov-1997 Dec-1997 Jan-1998 Feb-1998 Mar-1998 Apr-1998 May-1998 Jun-1998 Jul-1998 Aug-1998 Sep-1998 Oct-1998 Nov-1998 Dec-1998 Jan-1999 Feb-1999 Mar-1999 Apr-1999 May-1999 Jun-1999 Jul-1999 Aug-1999 Sep-1999 Oct-1999 Nov-1999 Dec-1999 Jan-2000 Feb-2000 Mar-2000 Apr-2000 May-2000 Jun-2000 Jul-2000 Aug-2000 Sep-2000 Oct-2000 Nov-2000 Dec-2000 Jan-2001 Feb-2001 Mar-2001 Apr-2001 May-2001 Jun-2001 Jul-2001 Aug-2001 Sep-2001 Oct-2001 Nov-2001 Dec-2001 Jan-2002 Feb-2002 Mar-2002 Apr-2002 May-2002 Jun-2002 Jul-2002 Aug-2002 Sep-2002 Oct-2002 Nov-2002 Dec-2002 Jan-2003 Feb-2003 Mar-2003 Apr-2003 May-2003 Jun-2003 Jul-2003 Aug-2003 Sep-2003 Oct-2003 Nov-2003 Dec-2003 Jan-2004 Feb-2004 Mar-2004 Apr-2004 May-2004 Jun-2004 Jul-2004 Aug-2004 Sep-2004 Oct-2004 Nov-2004 Dec-2004 Jan-2005 Feb-2005 Mar-2005 Apr-2005 May-2005 Jun-2005 Jul-2005 Aug-2005 Sep-2005 Oct-2005 Nov-2005 Dec-2005 Jan-2006 Feb-2006 Mar-2006 Apr-2006 May-2006 Jun-2006 Jul-2006 Aug-2006 Sep-2006 Oct-2006 Nov-2006 Dec-2006 Jan-2007 Feb-2007 Mar-2007 Apr-2007 May-2007 Jun-2007 Jul-2007 Aug-2007 Sep-2007 Oct-2007 Nov-2007 Dec-2007 Jan-2008 Feb-2008 Mar-2008 Apr-2008 May-2008 Jun-2008 Jul-2008 Aug-2008 Sep-2008 Oct-2008 Nov-2008 Dec-2008 Jan-2009 Feb-2009 Mar-2009 Apr-2009 May-2009 Jun-2009 Jul-2009 Aug-2009 Sep-2009 Oct-2009 Nov-2009 Dec-2009 Jan-2010 Feb-2010 Mar-2010 Apr-2010 May-2010 Jun-2010 Jul-2010 Aug-2010 Sep-2010 Oct-2010 Nov-2010 Dec-2010 Jan-2011 Feb-2011 Mar-2011 Apr-2011 May-2011 Jun-2011 Jul-2011 Aug-2011 Sep-2011
194125 83590 83731 124340 194560 331670 518070 345470 477130 203590 32940 0 15617 38417 63435 95376 218850 496700 515570 829290 313630 88207 8842 0 0 25434 61846 263380 732180 805010 1889900 1317700 1766100 1206200 123430 61671 62769 71866 81471 240030 358810 348940 457460 334590 402770 65276 0 0 0 0 0 55156 1904700 2013800 2305800 1597800 1683000 1211200 438140 88893 78739 77277 88794 1282600 1625800 2558900 1521000 1501900 1416400 473450 81931 5267 43247 59538 1249500 2817400 3404900 1297000 954590 957230 537300 174130 82626 95606 81044 105710 302510 370840 1716200 1729800 2424000 1434400 1634700 1589300 525530 90963 92446 101260 886000 1040600 1363000 1692900 1601500 1292200 1456600 1063000 115240 53866 65497 75706 267830 350620 1142400 1228700 1291600 1479500 1036600 644510 104030 8340 37328 59414 72543 159370 187510 221220 507140 308580 281460 31753 0 0 0 0 5656 503090 1248400 873730 718180 1047400 648490 289340 42571 0 3240 31752 76102 1540100 2107000 1435400 1358200 1454000 1418300 865750 129480 101750 79977 78322 165520 534700 734580 1516700 1322400 1090500 909910 291740 36815 0 15316 62934 77185 676440 721660 1124500 824910 861720 1364300 887720 102640 1535 33044 50949 366150 2965200 3105900 2352600 1225900 1369400 2057900 977420 96492 41014 55516 65023 253810 915920 717800 756290 1167700 705640 636130 98428 9260 0 0 64700 137280 361270 567290 760560 839850 875020 1325200 727890 65687 3884 24763 45369 269430 216710 339780 456800 874180 876330 960160 366380 28931 0 7722 42024 54431 155120 686370 684710 839930 1145500 1102100 1430600 264820 52104 57236 123600 499520 1232700 1084500 744260 1388800 1653600 1490700 1480700 685240 114050 79130
193125 83437 83571 124050 194170 331080 517300 344970 476420 203150 32688 0 15244 38291 63301 95177 218430 495920 514790 828220 313010 87979 8583 0 0 24870 61659 262860 731350 804020 1888100 1316500 1764300 1204700 123110 61283 62608 71716 81303 239580 358250 348380 456740 334040 402040 64963 0 0 0 0 0 54956 1903200 2011900 2304100 1596400 1681400 1209800 437430 88460 78567 77119 88622 1281400 1624900 2556700 1519500 1500600 1414900 472580 81631 4885 43091 59408 1248000 2815600 3402800 1295700 953530 956230 536370 173710 82480 95465 80927 105500 302180 370370 1715000 1728100 2422000 1433000 1633100 1587600 524600 90464 92255 101070 885150 1039500 1362100 1691300 1599900 1290900 1454900 1061500 114880 53433 65314 75535 267300 350050 1141200 1227400 1290300 1478200 1035300 643690 103800 7959 37172 59280 72385 159000 187160 220810 506350 308110 280750 31452 0 0 0 0 3797 502220 1247200 872930 717280 1046200 647530 288690 42310 0 2274 31576 75972 1539200 2105400 1434500 1357000 1452800 1416800 864430 129130 101370 79800 78153 165140 534000 733730 1516200 1321100 1089400 908730 291080 36534 0 14924 62795 77018 675550 720760 1124600 824000 860800 1362800 886530 102330 711 32867 50821 365450 2963500 3104100 2350800 1224700 1368200 2055900 976090 96162 40601 55355 64870 253220 914890 716940 755700 1166400 704820 635120 98107 8996 0 0 64427 136870 360680 566640 760240 838860 874050 1323700 726750 65404 3395 24590 45249 268780 216300 339220 456170 873090 875260 958920 365750 28668 0 7288 41903 54311 154750 685470 684080 838920 1144400 1100900 1428900 264230 51664 57073 123440 498760 1231600 1083400 743570 1387700 1652200 1489200 1479100 684300 113670 78947
192125 82984 83111 123450 193430 330090 516070 344070 475270 202340 32136 0 14595 37891 62880 94675 217660 494690 513560 826620 311980 87427 8050 0 0 24016 61186 261970 730040 802510 1885500 1314700 1761900 1202600 122460 60593 62162 71276 80840 238770 357290 347420 455580 333090 400870 64331 0 0 0 0 0 54465 1901000 2009300 2301700 1594400 1679100 1207700 436280 87705 78099 76667 88151 1279600 1623400 2553700 1517300 1498500 1412700 471240 81005 4231 42660 58994 1246000 2813000 3399700 1293800 951920 954660 534970 172940 82017 95015 80512 104970 301470 369500 1713100 1725700 2419100 1431100 1630800 1585100 523180 89633 91763 100570 883760 1037800 1360400 1689000 1597600 1288900 1452500 1059400 114170 52695 64843 75071 266410 349080 1139400 1225400 1288300 1476200 1033400 642370 103230 7311 36745 58863 71935 158300 186460 220040 505130 307240 279640 30853 0 0 0 0 735 500930 1245300 871610 715890 1044500 646060 287640 41751 0 209 31127 75535 1537600 2103000 1433000 1355100 1450900 1414700 862540 128440 100670 79328 77688 164440 532860 732390 1515000 1319200 1087700 907000 290000 35950 0 14255 62372 76556 674190 719370 1124200 822580 859340 1360700 884780 101690 0 32421 50411 364350 2960900 3101400 2348200 1222900 1366400 2053100 974170 95487 39885 54910 64428 252260 913320 715580 754620 1164500 703480 633600 97450 8449 0 0 63866 136140 359680 565550 759420 837350 872540 1321500 725080 64805 2562 24153 44851 267750 215540 338260 455120 871480 873640 957100 364700 28110 0 6571 41512 53913 154050 684100 682970 837380 1142700 1099100 1426600 263250 50924 56628 122950 497550 1230000 1081700 742370 1385900 1650000 1486900 1476800 682850 112960 78469
191126 82110 82230 122390 192200 328570 514240 342700 473590 201100 31262 0 13566 37098 62053 93743 216400 492860 511730 824390 310480 86514 7224 0 0 22717 60300 260570 728090 800310 1882000 1312100 1758600 1199800 121410 59476 61305 70425 79960 237480 355810 345900 453830 331670 399190 63345 0 0 0 0 0 53557 1897900 2005700 2298300 1591600 1675900 1204900 434610 86496 77207 75791 87243 1276900 1621100 2549600 1514300 1495700 1409700 469370 80010 3199 41829 58174 1243200 2809400 3395500 1291200 949590 952460 533000 171740 81198 94130 79671 104010 300250 368080 1710400 1722400 2415200 1428300 1627700 1581900 521190 88328 90835 99636 881690 1035500 1358100 1685800 1594500 1286300 1449400 1056700 113070 51523 63955 74187 264990 347560 1136800 1222700 1285600 1473500 1030800 640490 102290 6286 35925 58041 71068 157120 185280 218780 503290 305900 278060 29927 0 0 0 0 0 499050 1242800 869630 713830 1042100 644010 286110 40863 0 0 30279 74683 1535300 2099700 1430700 1352400 1448200 1411800 860000 127350 99494 78430 76799 163230 531060 730340 1513100 1316400 1085300 904610 288450 35034 0 13194 61539 75675 672170 717310 1123300 820470 857250 1357800 882390 100660 0 31582 49598 362660 2957200 3097600 2344600 1220300 1363800 2049500 971580 94424 38741 54057 63572 250770 911030 713550 752920 1161900 701570 631500 96419 7612 0 0 62870 134950 358140 563850 758040 835150 870400 1318500 722800 63855 1278 23334 44056 266190 214280 336750 453490 869150 871400 954630 363170 27231 0 5463 40737 53131 152890 682130 681260 835150 1140300 1096600 1423400 261810 49763 55774 122010 495740 1227600 1079300 740550 1383400 1647100 1483900 1473700 680810 111790 77570
191125 81557 81674 121710 191380 327500 512920 341640 472300 200210 30721 0 13045 36648 61548 93152 215540 491550 510400 822660 309380 85884 6767 0 0 22070 59773 259610 726590 798650 1879300 1310000 1755900 1197600 120680 58829 60789 69897 79405 236580 354730 344830 452580 330600 397950 62705 0 0 0 0 0 53031 1895400 2002900 2295400 1589300 1673400 1202700 433350 85774 76655 75249 86676 1274900 1619000 2546400 1512000 1493400 1407300 468000 79349 2715 41356 57680 1241000 2806300 3392000 1289000 947810 950680 531540 170890 80621 93561 79141 103390 299330 367030 1708200 1719900 2412100 1426100 1625200 1579400 519730 87559 90252 99037 880050 1033600 1356100 1683300 1592100 1284100 1447000 1054600 112320 50862 63424 73642 264020 346480 1134900 1220600 1283500 1471200 1028900 639010 101630 5789 35465 57546 70535 156360 184490 217920 501980 304890 276940 29365 0 0 0 0 0 497710 1240700 868020 712290 1040200 642450 285020 40303 0 0 29818 74146 1533200 2097100 1428700 1350300 1446100 1409500 858100 126590 98786 77874 76249 162460 529770 728820 1511200 1314300 1083400 902770 287340 34470 0 12664 61036 75129 670670 715770 1122000 818840 855580 1355500 880540 99960 0 31121 49119 361500 2954100 3094300 2341700 1218300 1361600 2046600 969600 93713 38114 53553 63054 249780 909290 712030 751500 1159800 700050 629920 95718 7141 0 0 62297 134190 357040 562550 756750 833480 868690 1316300 721090 63233 532 22897 43594 265150 213430 335690 452300 867410 869630 952720 362010 26697 0 4936 40285 52651 152130 680620 679880 833470 1138400 1094600 1421000 260780 49108 55268 121380 494430 1225600 1077400 739090 1381300 1644700 1481500 1471300 679240 111060 77013
190125 81055 81171 121280 191130 327520 513280 341750 472570 199860 29711 0 11838 35912 60970 92682 215360 491850 510750 823440 309230 85257 5551 0 0 20751 59133 259520 727460 799490 1881400 1311700 1757800 1198700 120130 57916 60178 69346 78886 236440 354870 344930 452830 330630 397960 61842 0 0 0 0 0 52325 1897800 2005100 2298400 1591300 1675300 1203800 433490 84952 76118 74716 86188 1276500 1621600 2549200 1513700 1495200 1408800 468040 78599 1278 40629 57081 1242400 2810000 3396000 1290600 948900 951810 531710 170450 80056 93125 78664 102950 299520 367290 1710600 1721900 2414900 1427900 1627100 1581000 519830 86649 89767 98592 881210 1034900 1358100 1685200 1593900 1285600 1448300 1055400 111660 49836 62807 73092 263910 346580 1136300 1222000 1285000 1473100 1029800 639600 101080 4450 34699 56948 69980 156000 184260 217750 502310 304910 276590 28297 0 0 0 0 0 497990 1242300 869210 713030 1041400 642870 284750 39377 0 0 28975 73617 1535600 2099700 1430900 1352000 1448000 1411000 858630 126030 98098 77337 75710 162120 530260 729650 1513900 1315900 1084700 903590 287050 33458 0 11426 60458 74590 671360 716520 1124600 819800 856580 1357000 881290 99293 0 30300 48465 361520 2958000 3098300 2344600 1219800 1363400 2048700 970380 92971 37011 52896 62458 249560 910350 712800 752630 1161100 700790 630260 95024 5895 0 0 61593 133720 357160 563190 758150 834400 869680 1317600 721510 62415 0 22013 42914 264930 213250 335760 452670 868320 870510 953580 362030 25650 0 3518 39589 52032 151750 681320 680800 834360 1139800 1095800 1422400 260500 48084 54623 121050 494760 1227300 1078700 740080 1383200 1646800 1483100 1472800 679780 110420 76469
189125 81046 81161 121310 191290 327870 513880 342160 473070 199890 29193 0 11187 35715 60910 92702 215590 492400 511320 824290 309380 85083 4869 0 0 19969 59011 259820 728510 800440 1883200 1313300 1759500 1199700 119990 57475 60083 69299 78859 236690 355330 345340 453330 330960 398230 61432 0 0 0 0 0 52143 1900100 2007000 2300900 1593200 1677000 1204900 433870 84575 76080 74683 86185 1278100 1624100 2551500 1515300 1496800 1410100 468300 78293 146 40439 57001 1243700 2813100 3399500 1292100 950040 952970 532050 170390 79955 93170 78684 103000 300040 367840 1712800 1723600 2417200 1429500 1628700 1582300 520110 86162 89772 98627 882460 1036100 1360000 1687000 1595500 1287100 1449500 1056300 111410 49278 62705 73044 264180 347000 1137700 1223300 1286500 1474800 1030800 640330 100960 3643 34477 56876 69932 156090 184450 217980 502890 305240 276540 27718 0 0 0 0 0 498530 1243800 870480 713900 1042500 643430 284790 38942 0 0 28674 73593 1537800 2102100 1433000 1353600 1449700 1412500 859200 125880 97852 77299 75670 162210 530970 730600 1516500 1317400 1085900 904440 287060 32931 0 10741 60400 74551 672220 717430 1127300 820850 857650 1358300 882080 99049 0 30026 48335 361870 2961300 3101600 2347000 1221200 1365100 2050500 971150 92646 36386 52761 62374 249720 911490 713720 753900 1162400 701650 630740 94757 5172 0 0 61405 133700 357600 564050 759700 835420 870730 1318700 722030 62060 0 21687 42767 265070 213480 336170 453340 869310 871450 954450 362320 25098 0 2609 39428 51929 151810 682180 681890 835340 1141200 1097000 1423600 260560 47539 54501 121200 495330 1228900 1080000 741220 1385000 1648600 1484600 1474200 680450 110210 76426
188125 80928 81044 121140 191120 327690 513730 342050 472880 199620 28763 0 10619 35533 60797 92593 215450 492200 511150 824080 309060 84834 4373 0 0 19216 58838 259700 728600 800320 1883000 1313300 1759300 1199300 119710 57015 59935 69174 78730 236530 355230 345210 453150 330780 397900 61010 0 0 0 0 0 51925 1900300 2006900 2301200 1593300 1676800 1204500 433620 84108 75948 74558 86062 1278200 1624800 2551400 1515200 1496900 1409800 467900 77942 0 40249 56876 1243600 2813700 3399900 1292100 949980 952950 531640 170080 79787 93088 78605 102890 300090 367830 1713200 1723500 2417100 1429500 1628600 1582000 519670 85599 89652 98515 882600 1036100 1360300 1686900 1595400 1287000 1449200 1055800 111040 48736 62542 72908 264010 346870 1137700 1223200 1286500 1474900 1030500 640200 100730 3019 34273 56763 69804 155920 184330 217850 502730 305100 276070 27230 0 0 0 0 0 498320 1243800 870630 713800 1042400 643120 284400 38551 0 0 28405 73483 1538400 2102300 1433500 1353600 1449800 1412300 858690 125560 97486 77163 75534 162010 530910 730570 1517400 1317400 1085900 904150 286640 32483 0 10135 60293 74421 672170 717360 1128700 820820 857620 1358100 881760 98714 0 29783 48183 361640 2962000 3102200 2347200 1221200 1365200 2050300 970740 92244 35808 52591 62228 249470 911480 713670 754170 1162300 701580 630360 94396 4641 0 0 61158 133460 357490 564120 760260 835350 870670 1318400 721600 61686 0 21421 42615 264780 213360 336040 453350 869170 871280 954150 362070 24646 0 1546 39271 51792 151620 682110 682060 835230 1141300 1096800 1423200 260210 47001 54341 121170 495160 1229100 1080000 741360 1385300 1648700 1484400 1473900 680210 109860 76288
187125 79844 79961 120030 190070 326690 512840 341140 471950 198480 27357 0 8998 34344 59706 91531 214440 491260 510230 823260 307920 83648 2856 0 0 17417 57681 258730 728030 799570 1882500 1312900 1758700 1198500 118520 55596 58801 68072 77632 235510 354310 344250 452200 329790 396810 59642 0 0 0 0 0 50717 1900300 2006500 2301300 1593100 1676300 1203700 432610 82699 74844 73461 84974 1277700 1625100 2551100 1514700 1496400 1409100 466770 76664 0 39056 55766 1242900 2814100 3400400 1291500 949320 952340 530520 168910 78675 92051 77558 101840 299300 367010 1713300 1723000 2416900 1429100 1628100 1581300 518530 84114 88570 97450 882130 1035600 1360200 1686500 1594900 1286400 1448300 1054800 109780 47240 61396 71801 263000 345930 1137200 1222600 1285900 1474600 1029600 639380 99579 1365 33059 55664 68702 154830 183320 216830 501830 304140 274790 25761 0 0 0 0 0 497370 1243400 870180 713040 1041800 642130 283200 37183 0 0 27118 72402 1538600 2102300 1433500 1353200 1449500 1411700 857600 124340 96186 76056 74427 160900 530100 729870 1517900 1316800 1085300 903280 285420 31066 0 8469 59204 73320 671440 716620 1129600 820160 856970 1357400 880860 97467 0 28524 47036 360610 2962700 3102800 2347100 1220700 1364800 2049700 969780 90927 34254 51430 61100 248360 910870 712950 753790 1161600 700840 629300 93113 3097 0 0 59932 132300 356560 563480 760170 834640 870000 1317600 720540 60361 0 20128 41462 263630 212350 335090 452590 868420 870500 953280 361040 23209 0 0 38110 50664 150510 681360 681540 834490 1140800 1096200 1422300 259050 45492 53190 120190 494240 1228800 1079500 740850 1385100 1648400 1483800 1473200 679300 108580 75178
186125 79182 79305 119420 189600 326430 512870 340980 471890 197950 26282 0 7616 33486 59007 90919 214050 491210 510230 823590 307530 82907 1580 0 0 15883 56907 258430 728540 799950 1883800 1314000 1759900 1199100 117840 54569 58049 67373 76954 235130 354160 344060 452120 329550 396530 58679 0 0 0 0 0 49878 1902100 2007900 2303400 1594400 1677500 1204300 432450 81727 74152 72776 84320 1278700 1627100 2553000 1515800 1497600 1410000 466530 75827 0 38202 55034 1243700 2816900 3403400 1292500 949910 952970 530350 168300 77998 91462 76931 101250 299220 366960 1715000 1724200 2418700 1430200 1629200 1582300 518330 83081 87925 96839 882850 1036300 1361600 1687700 1596100 1287400 1449100 1055200 109020 46125 60638 71105 262670 345750 1138100 1223400 1286900 1475800 1030100 639580 98893 0 32170 54942 68003 154290 182890 216440 501830 303900 274210 24617 0 0 0 0 0 497320 1244400 870900 713340 1042400 642180 282710 36163 0 0 26140 71733 1540400 2104200 1435100 1354300 1450700 1412600 857710 123630 95346 75363 73734 160330 530210 730250 1520000 1317800 1086100 903630 284920 29990 0 7034 58502 72633 671760 716960 1131800 820650 857500 1358300 881160 96696 0 27577 46250 360350 2965600 3105700 2349100 1221600 1365900 2051100 970090 90074 33046 50635 60361 247910 911470 713310 754500 1162400 701170 629260 92294 1801 0 0 59097 131650 356420 563790 761180 835100 870510 1318400 720570 59435 0 19123 40657 263160 211960 334890 452680 868860 870910 953670 360800 22088 0 0 37288 49904 149930 681660 682070 834910 1141700 1096800 1423100 258560 44349 52410 119710 494220 1229900 1080300 741420 1386400 1649700 1484700 1474100 679440 107770 74479
185125 81562 81694 121880 192240 329350 516170 344030 475080 200540 28212 0 9194 35632 61343 93362 216790 494410 513480 827300 310300 85215 3257 0 0 17317 59153 261260 732390 803690 1888800 1318600 1764800 1203200 120220 56570 60319 69705 79316 237880 357200 347040 455260 332500 399470 60750 0 0 0 0 0 52058 1907500 2013100 2309300 1599400 1682300 1208400 435510 83800 76493 75126 86709 1283300 1632700 2558700 1520500 1502300 1414400 469540 78039 904 40352 57323 1248000 2823500 3410500 1297000 953900 957010 533450 170800 80365 93921 79342 103720 302310 370110 1720400 1729100 2424400 1434900 1634000 1586800 521390 85104 90323 99279 886960 1040500 1366500 1692600 1600800 1291800 1453400 1059000 111330 48041 62903 73445 265490 348750 1142500 1227700 1291300 1480600 1034000 643080 101260 1530 34279 57235 70335 156830 185550 219170 505080 306830 276790 26473 0 0 0 0 0 500520 1248900 875000 716970 1046500 645530 285390 38149 0 0 28156 74100 1545800 2109800 1440200 1358900 1455500 1417100 861210 125990 97559 77703 76076 162860 533580 733960 1525700 1322300 1090300 907380 287570 31923 0 8550 60822 74981 675390 720630 1137500 824500 861410 1362700 884850 98988 0 29622 48477 363300 2972500 3112600 2354900 1226000 1370600 2056200 973820 92277 34849 52854 62647 250590 915480 716990 758560 1166600 704820 632530 94534 3465 0 0 61298 134070 359470 567400 765530 838930 874410 1322600 723940 61537 379 21101 42859 265830 214690 337870 455990 872670 874710 957480 363750 23961 0 612 39472 52162 152440 685280 685920 838710 1146000 1101000 1427400 261220 46224 54647 122300 497440 1234600 1084500 745330 1391200 1654700 1489200 1478500 682900 110030 76813
184125 82510 82653 122790 193160 330270 517160 345040 476020 201380 28913 0 9631 36513 62319 94338 217750 495330 514420 828240 311120 86079 3846 0 0 17557 60040 262210 733600 804690 1889900 1319800 1765800 1204000 121060 57221 61221 70641 80253 238810 358190 348000 456190 333440 400290 61462 0 0 0 0 0 52906 1909000 2014100 2310700 1600600 1683400 1209300 436380 84427 77412 76061 87649 1284400 1634500 2559800 1521500 1503500 1415300 470300 78831 1213 41211 58258 1249100 2825300 3412200 1298100 954970 958120 534210 171620 81304 94908 80325 104680 303430 371180 1721900 1730200 2425600 1436100 1635100 1587800 522130 85683 91255 100230 888210 1041600 1368000 1693700 1601900 1292900 1454300 1059800 112130 48645 63791 74379 266440 349720 1143800 1228700 1292400 1481800 1034900 644080 102140 1993 35123 58172 71269 157730 186510 220110 506020 307810 277470 27105 0 0 0 0 0 501420 1250100 876270 717980 1047600 646380 286140 38854 0 0 28939 75058 1547600 2111200 1441800 1360000 1456800 1418100 861910 126770 98281 78617 77000 163730 534600 735030 1527800 1323400 1091400 908270 288310 32607 0 8922 61774 75917 676460 721680 1140000 825590 862510 1363700 885710 99796 0 30424 49385 364170 2974500 3114500 2356300 1227200 1371800 2057200 974610 93014 35388 53734 63562 251430 916600 718060 759940 1167600 705880 633300 95304 4046 0 0 62138 134910 360470 568620 767190 839970 875490 1323500 724690 62268 210 21877 43764 266620 215640 338830 457060 873670 875690 958360 364640 24620 0 363 40370 53088 153330 686310 687180 839720 1147200 1102000 1428200 262010 46786 55537 123330 498380 1235900 1085600 746580 1392600 1655900 1490200 1479500 683790 110770 77722
183125 82200 82355 122320 192480 329230 515770 344040 474680 200620 28691 0 9351 36368 62124 94008 217030 493930 512990 826260 310050 85696 3731 0 0 17078 59781 261340 731960 802790 1886400 1317200 1762500 1201400 120530 56809 60961 70367 79942 237990 357120 346930 454870 332400 399020 61081 0 0 0 0 0 52653 1905800 2010600 2307100 1597800 1680300 1206600 435050 83878 77095 75765 87312 1281900 1631900 2555600 1518600 1500700 1412400 468840 78426 918 41017 58037 1246500 2821300 3407500 1295500 952850 956040 532620 170930 80991 94571 80044 104280 302590 370140 1719100 1727000 2421600 1433400 1632000 1584600 520540 85101 90892 99852 886320 1039400 1365600 1690600 1598800 1290300 1451200 1057300 111610 48248 63511 74094 265590 348670 1141500 1226200 1289800 1479100 1032600 642450 101700 1816 34952 57952 70994 157130 185850 219350 504610 306850 276400 26841 0 0 0 0 0 499980 1247600 874420 716230 1045300 644650 285100 38571 0 0 28767 74782 1545100 2107800 1439400 1357400 1454000 1415300 859700 126180 97740 78291 76692 163080 533180 733270 1525500 1320800 1089100 906110 287240 32345 0 8596 61545 75624 674800 719930 1138500 823700 860580 1360900 883570 99323 0 30250 49188 363020 2970400 3110100 2352500 1224700 1369200 2053500 972280 92513 35008 53493 63305 250510 914570 716330 758350 1165200 704180 631550 94825 3932 0 0 61852 134350 359430 567290 765770 838030 873510 1320700 722750 61888 0 21739 43593 265650 214900 337790 455830 871630 873650 956110 363490 24386 0 0 40208 52886 152730 684620 685650 837760 1144900 1099600 1425200 261030 46362 55294 122920 496980 1233600 1083400 744930 1390000 1652900 1487300 1476500 682010 110200 77395
183124 82209 82370 122170 192170 328630 514900 343450 473790 200200 28643 0 9199 36486 62223 94018 216700 493040 512090 824860 309350 85610 3759 0 0 16710 59822 260960 730990 801520 1883900 1315400 1760000 1199400 120340 56686 61022 70420 79957 237600 356560 346340 454060 331780 398160 60928 0 0 0 0 0 52697 1903700 2007900 2304500 1595700 1677900 1204700 434220 83645 77116 75797 87306 1280300 1630400 2552500 1516500 1498600 1410300 467850 78323 820 41112 58132 1244700 2818500 3404100 1293700 951430 954600 531490 170580 80982 94603 80110 104260 302260 369620 1717200 1724600 2418700 1431400 1629700 1582300 519450 84835 90886 99828 885240 1037900 1364000 1688300 1596700 1288400 1449000 1055400 111390 48100 63551 74123 265150 348090 1140000 1224400 1288000 1477100 1030800 641350 101580 1808 35056 58053 71037 156900 185610 219020 503750 306310 275660 26755 0 0 0 0 0 499130 1246000 873290 715090 1043700 643410 284420 38498 0 0 28830 74851 1543600 2105400 1437900 1355600 1452100 1413200 858040 125930 97576 78302 76709 162810 532370 732200 1524300 1319000 1087500 904540 286550 32295 0 8395 61661 75653 673830 718840 1138200 822480 859250 1358800 882020 99160 0 30334 49287 362350 2967600 3107100 2349800 1223000 1367400 2050700 970550 92316 34862 53557 63358 250020 913310 715260 757500 1163500 703040 630270 94618 3918 0 0 61839 134100 358860 566570 765150 836750 872140 1318600 721330 61766 0 21838 43711 265060 214580 337230 455210 870260 872200 954480 362790 24348 0 0 40352 52986 152500 683610 684800 836450 1143300 1097900 1423000 260440 46181 55365 122940 496120 1232100 1081800 743970 1388300 1650800 1485100 1474300 680780 109980 77407
182124 81441 81613 121200 190930 326970 512840 341800 471720 198830 27831 0 8288 35892 61581 93238 215440 490970 510000 822030 307580 84708 3078 0 0 15536 59119 259620 728730 798860 1879400 1311900 1755600 1195800 119280 55769 60322 69714 79202 236260 354940 344680 452100 330090 396160 59974 0 0 0 0 0 51995 1899700 2003300 2299900 1591800 1673700 1201100 432200 82561 76353 75062 86520 1277000 1627200 2547100 1512600 1494800 1406300 465650 77406 0 40472 57485 1241300 2813600 3398300 1290200 948540 951680 529090 169300 80183 93850 79414 103430 300940 368040 1713600 1720400 2413500 1427700 1625600 1578100 517100 83719 90080 99006 882770 1035000 1360900 1684200 1592600 1284900 1444900 1052000 110320 47161 62822 73386 263720 346450 1137000 1220900 1284600 1473400 1027500 638960 100630 1089 34435 57423 70328 155800 184470 217740 501710 304730 273850 25904 0 0 0 0 0 497100 1242700 870780 712630 1040600 640860 282680 37645 0 0 28177 74163 1540500 2100900 1434700 1352100 1448500 1409400 854900 124790 96562 77525 75953 161640 530360 729790 1521500 1315500 1084300 901480 284800 31477 0 7411 61026 74916 671560 716420 1136500 819870 856510 1355100 878990 98154 0 29692 48657 360600 2962600 3101700 2344900 1219700 1363900 2045800 967280 91272 33935 52868 62659 248550 910630 712880 755360 1160100 700580 627660 93569 3188 0 0 61051 132990 357220 564660 763290 834070 869340 1314800 718520 60832 0 21225 43112 263480 213330 335620 453480 867460 869290 951330 360990 23555 0 0 39779 52358 151390 681300 682700 833730 1140100 1094600 1418900 258820 45196 54681 122150 494070 1229000 1078800 741700 1385000 1646800 1481100 1470200 678190 108900 76628
